тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большесолдатское – Малый Каменец;38 ОП МЗ 38Н-026;35.489060;51.337401;35.663827;51.235768;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большесолдатское – Ржава;38 ОП МЗ 38Н-027;35.522630;51.344443;35.434289;51.381119;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большесолдатское – Розгребли – Дьяконово – Суджа – граница с Украиной;38 ОП МЗ 38Н-028;35.488355;51.337257;35.465562;51.312136;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Hижнее Гридино – Сула;38 ОП МЗ 38Н-079;35.657909;51.452073;35.755939;51.383839;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Борщень;38 ОП МЗ 38Н-080;35.607478;51.433521;35.565979;51.451423;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Борщень – Любимовка;38 ОП МЗ 38Н-081;35.600220;51.446523;35.651188;51.504712;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Будище;38 ОП МЗ 38Н-082;35.446960;51.295786;35.536829;51.214082;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Будище – Бирюковка;38 ОП МЗ 38Н-083;35.447000;51.295775;35.487558;51.272035;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Волоконск;38 ОП МЗ 38Н-084;35.590601;51.416525;35.424365;51.435867;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любимовка – п. им. К. Либкнехта;38 ОП МЗ 38Н-086;35.708865;51.471751;35.623437;51.502975;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Любостань – Леоновка;38 ОП МЗ 38Н-091;35.570775;51.375484;35.768486;51.283215;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Дьяконово – Суджа – граница с Украиной;38 ОП МЗ 38Н-195;35.731570;51.463464;35.709313;51.471599;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Любимовка – п. Долгий;38 ОП МЗ 38Н-457;35.641024;51.504112;35.680043;51.556560;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Нижнее Гридино – Извеково;38 ОП МЗ 38Н-477;35.708727;51.391321;35.671358;51.378784;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Нижнее Гридино – Извеково;38 ОП МЗ 38Н-477 ответвление;35.708727;51.391321;35.669673;51.383263;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Саморядово – Хотеж Колодезь;38 ОП МЗ 38Н-572;35.548319;51.237677;35.588788;51.218098;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большесолдатское – Малый Каменец – Сторожевое;38 ОП МЗ 38Н-740;35.635544;51.267406;35.646203;51.284161;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Волоконск – Ширковский;38 ОП МЗ 38Н-741;35.424365;51.435867;35.399993;51.457779;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Волоконск – Ширковский – Раково;38 ОП МЗ 38Н-742;35.415776;51.441211;35.381969;51.424673;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большесолдатское – Малый Каменец – Махов Колодезь – Растворово;38 ОП МЗ 38Н-778;35.506405;51.302354;35.554051;51.260416;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Нижнее Гридино – Сула – Верхнее Гридино;38 ОП МЗ 38Н-779;35.673426;51.416558;35.650428;51.394318;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Большое Солдатское – Кукуй;38 ОП МЗ 38Н-820;35.510148;51.336226;35.529101;51.327683;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Будище – Черный Олех;38 ОП МЗ 38Н-822;35.534154;51.212493;35.530429;51.198659;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Автомобильная дорога Леоновка – граница Обоянского района в Большесолдатском районе Курской области;38 ОП МЗ 38Н-832;35.763137;51.284220;35.771202;51.289112;
