UIK;CITY;STREET;HOUSE
93;г. Курск;Домостроителей ул;1
93;г. Курск;Домостроителей ул;1А
93;г. Курск;Домостроителей ул;2
93;г. Курск;Домостроителей ул;3
93;г. Курск;Домостроителей ул;4
93;г. Курск;Домостроителей ул;5
93;г. Курск;Домостроителей ул;6
93;г. Курск;Домостроителей ул;8
93;г. Курск;Домостроителей ул;10
93;г. Курск;Домостроителей ул;12
93;г. Курск;Домостроителей ул;зд16
93;г. Курск;Домостроителей ул;17
93;г. Курск;Домостроителей ул;18
93;г. Курск;Домостроителей ул;19
93;г. Курск;Домостроителей ул;зд23
96;г. Курск;Анатолия Дериглазова пр-кт;55
96;г. Курск;Анатолия Дериглазова пр-кт;57
96;г. Курск;Анатолия Дериглазова пр-кт;59
96;г. Курск;Анатолия Дериглазова пр-кт;61
96;г. Курск;Анатолия Дериглазова пр-кт;63
96;г. Курск;Анатолия Дериглазова пр-кт;65
96;г. Курск;Анатолия Дериглазова пр-кт;67
96;г. Курск;Анатолия Дериглазова пр-кт;69
96;г. Курск;Анатолия Дериглазова пр-кт;71
96;г. Курск;Анатолия Дериглазова пр-кт;73
96;г. Курск;Анатолия Дериглазова пр-кт;75
96;г. Курск;Анатолия Дериглазова пр-кт;77
96;г. Курск;Анатолия Дериглазова пр-кт;79
96;г. Курск;Анатолия Дериглазова пр-кт;81
96;г. Курск;Анатолия Дериглазова пр-кт;83
96;г. Курск;Анатолия Дериглазова пр-кт;85
96;г. Курск;Анатолия Дериглазова пр-кт;87
96;г. Курск;Анатолия Дериглазова пр-кт;89
96;г. Курск;Анатолия Дериглазова пр-кт;91
96;г. Курск;Анатолия Дериглазова пр-кт;93
96;г. Курск;Анатолия Дериглазова пр-кт;95
96;г. Курск;Анатолия Дериглазова пр-кт;97
96;г. Курск;Анатолия Дериглазова пр-кт;зд101
96;г. Курск;Анатолия Дериглазова пр-кт;107
96;г. Курск;Анатолия Дериглазова пр-кт;109
96;г. Курск;Анатолия Дериглазова пр-кт;111
96;г. Курск;Анатолия Дериглазова пр-кт;113
96;г. Курск;Анатолия Дериглазова пр-кт;117
96;г. Курск;Анатолия Дериглазова пр-кт;119
