тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Боево ;38 ОП МЗ 38Н-101;36.387685;52.087892;36.383988;52.104387;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Казанка;38 ОП МЗ 38Н-103;36.387630;52.087846;36.646600;52.145726;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Казанка – Белый Колодезь;38 ОП МЗ 38Н-105;36.531685;52.108735;36.556512;52.055176;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Казанка – Коптевка;38 ОП МЗ 38Н-106;36.593701;52.110472;36.621080;52.077872;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Казанка – Николаевка – Седмиховка;38 ОП МЗ 38Н-107;36.486408;52.106106;36.585112;52.184747;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – Казанка – Сергеевка;38 ОП МЗ 38Н-108;36.378844;52.086999;36.476794;52.070427;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Золотухино – производственная база Золотухинского ДЭП;38 ОП МЗ 38Н-110;36.374846;52.077596;36.377148;52.070817;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Зыковка – Малое Анненково – Фатеж – Золотухино;38 ОП МЗ 38Н-210;36.115333;52.067537;36.104230;52.071233;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Зиборово;38 ОП МЗ 38Н-398;36.297092;51.972608;36.150984;51.946603;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Поныри – Зиборово – Кононыхино;38 ОП МЗ 38Н-399;36.264600;51.958582;36.218985;52.002708;
