тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);";Координата окончания (x)";Координата окончания (y);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Болото – Мокрецкие Выселки – граница Белгородской области;38 ОП МЗ 38Н-025;38.129296;51.399857;38.088298;51.364567;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Горшечное – Новомеловое;38 ОП МЗ 38Н-057;38.030532;51.515559;38.233470;51.362381;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Горшечное – Новомеловое – Богородицкое;38 ОП МЗ 38Н-058;38.047802;51.488076;38.109568;51.474416;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Горшечное – Новомеловое – Ровенка;38 ОП МЗ 38Н-059;38.075058;51.463457;38.045575;51.439160;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое;38 ОП МЗ 38Н-164 1-й участок;38.022707;51.523096;38.032156;51.520051;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое;38 ОП МЗ 38Н-164 2-й участок;38.032515;51.520062;38.111018;51.518398;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое;38 ОП МЗ 38Н-164 3-й участок;38.173618;51.443902;38.224307;51.380606;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое – Березово-Колодезь;38 ОП МЗ 38Н-165;38.177511;51.425158;38.244852;51.422522;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое – Березово-Колодезь – Березово;38 ОП МЗ 38Н-166;38.237674;51.434202;38.225570;51.435806;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Старомеловое – Мелавский;38 ОП МЗ 38Н-167;38.171970;51.407554;38.166223;51.405016;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Среднедорожное – Головище – Дегтярное;38 ОП МЗ 38Н-169;37.903921;51.436158;37.585387;51.491845;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Среднедорожное – Головище – Дегтярное;38 ОП МЗ 38Н-169 ответвление;37.903921;51.436158;37.565388;51.544004;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча – Губкин – Горшечное – Курск – Борисоглебск – Среднедорожное – Головище – Дегтярное – Знаменка;38 ОП МЗ 38Н-170;37.759582;51.480265;37.760461;51.470367;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Короча - Губкин - Горшечное - Короча – Губкин – Горшечное – Курск – Борисоглебск – Старое Роговое;38 ОП МЗ 38Н-171;37.933185;51.467749;37.956139;51.445369;
