тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-017;Курск - Льгов - Рыльск - граница с Украиной;36.06147500;51.66213200;36.06147500;51.66213200;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-017;;36.06384000;51.66289600;36.06323700;51.66273400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-017;проспект Ленинского Комсомола;36.06384000;51.66289600;36.06544300;51.66347300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-010;;36.08112400;51.58583100;36.07777800;51.58310400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-010;;36.08258800;51.58487100;36.08112400;51.58583100;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-010;Крым - Иванино;36.08256300;51.58417000;36.03607200;51.57386300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-018;Курск - Поныри;36.21790400;51.75773100;36.31666000;51.88356600;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;38К-018;;36.26269900;51.82213700;36.26286200;51.82255300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.06487300;51.65928400;36.06450500;51.66056900;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.07955300;51.71473300;36.16495200;51.70519300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;М-2;;36.12573800;51.81902700;36.12658800;51.81896400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13644500;51.73761200;36.13664300;51.73740000;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13669800;51.73772100;36.13644500;51.73761200;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13664300;51.73740000;36.13668200;51.73739700;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13668200;51.73739700;36.13692400;51.73748500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13675800;51.75509500;36.13669000;51.75495400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13669000;51.75495400;36.13704200;51.75458100;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13693400;51.73762100;36.13669800;51.73772100;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13672800;51.75555000;36.13675800;51.75509500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13709000;51.75511100;36.13675800;51.75509500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13692400;51.73748500;36.13694400;51.73751600;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13694400;51.73751600;36.13693400;51.73762100;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13703100;51.66203100;36.13747600;51.66273000;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13704200;51.75458100;36.13752200;51.75434500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13704200;51.75458100;36.13725500;51.75459500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13736200;51.75476600;36.13709000;51.75511100;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13710800;51.66287800;36.13731900;51.66266200;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13735000;51.66325500;36.13710800;51.66287800;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13725500;51.75459500;36.13736200;51.75476600;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13725500;51.75459500;36.13740800;51.75465200;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13731900;51.66266200;36.13747600;51.66273000;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13775000;51.66315700;36.13735000;51.66325500;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.13747600;51.66273000;36.13775000;51.66315700;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14201000;51.66979100;36.14159900;51.66987400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14381100;51.72918300;36.14410000;51.72900800;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14400100;51.72929000;36.14381100;51.72918300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14411500;51.72928300;36.14400100;51.72929000;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14410000;51.72900800;36.14417200;51.72902900;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14417200;51.72902900;36.14411500;51.72928300;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14723900;51.74095400;36.14872300;51.74058000;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.14765300;51.74188100;36.14723900;51.74095400;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;;;36.15535900;51.70776200;36.15532100;51.70769300;
