тип дорог;Кодификатор;Наименование дороги;Координата начала (y);Координата начала (x);Координата окончания (y);Координата окончания (x);
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Амосовка – 2-я Андреевка;38 ОП МЗ 38Н-005;36.185288;51.514812;36.211831;51.520475;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Гостомля – Свидное – Спасское;38 ОП МЗ 38Н-061;35.863908;51.450939;35.922246;51.448264;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Благодатное;38 ОП МЗ 38Н-069;35.740379;51.477504;35.721794;51.489171;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Тарасово;38 ОП МЗ 38Н-096;35.746272;51.480161;35.741857;51.459962;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Тарасово – Александровка;38 ОП МЗ 38Н-097;35.761306;51.473188;35.798850;51.481005;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Дьяконово – Суджа – граница с Украиной – Тарасово – Александровка;38 ОП МЗ 38Н-097 ответвление;35.761306;51.473188;35.804135;51.472233;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Знаменка – Нижний Дубовец;38 ОП МЗ 38Н-100;36.291498;51.432673;36.305347;51.425107;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Амосовка с подъездами к х. Рождественка, с. Тарусовка;38 ОП МЗ 38Н-176;36.063808;51.544577;36.185260;51.514798;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Амосовка – Петропавловка с подъездом к д. Шатовка;38 ОП МЗ 38Н-177;36.158533;51.518289;36.229322;51.542513;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Амосовка – 1-е Панино;38 ОП МЗ 38Н-178;36.139903;51.533887;36.128745;51.534657;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Амосовка – 1-е Панино;38 ОП МЗ 38Н-178 ответвление;36.139903;51.533887;36.131745;51.534413;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Амосовка – Чаплыгин Лог;38 ОП МЗ 38Н-179;36.133466;51.542705;36.145272;51.544402;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово;38 ОП МЗ 38Н-185;36.136059;51.416056;35.834139;51.367555;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Александровка;38 ОП МЗ 38Н-186;36.029946;51.378228;36.008483;51.391412;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Александровка – усадьба писателя К. Д. Воробьева;38 ОП МЗ 38Н-187;36.015585;51.386968;36.011983;51.384720;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Верхний Реутец – Реутчанский;38 ОП МЗ 38Н-188;35.999135;51.356804;36.018645;51.313880;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Гавриловка;38 ОП МЗ 38Н-189;35.999244;51.356836;36.027970;51.359070;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Ильичевский;38 ОП МЗ 38Н-190;36.032764;51.379594;36.033188;51.409331;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Любач;38 ОП МЗ 38Н-191;35.898915;51.377083;35.893937;51.387193;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – 1-й Липовец – граница Обоянского района;38 ОП МЗ 38Н-192;35.868034;51.366459;35.882226;51.334673;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – 1-й Липовец – граница Обоянского района;38 ОП МЗ 38Н-192 ответвление;35.868034;51.366459;35.891504;51.333344;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – 1-й Липовец – граница Обоянского района – Рожновка;38 ОП МЗ 38Н-193;35.889704;51.339569;35.903381;51.341657;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Танеевка;38 ОП МЗ 38Н-194;36.078522;51.401112;36.118385;51.362199;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Гахово – Дьяконово – Суджа – граница с Украиной;38 ОП МЗ 38Н-195;36.076478;51.399551;35.731766;51.463393;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – 2-я Гостомля;38 ОП МЗ 38Н-202;35.862171;51.476607;35.862619;51.432997;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Воробжа;38 ОП МЗ 38Н-203;35.915240;51.475946;35.938703;51.506124;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Высокое;38 ОП МЗ 38Н-204;35.979013;51.477366;35.997359;51.428976;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Высокое – Кондратьевка;38 ОП МЗ 38Н-205;35.970054;51.457514;35.962022;51.443291;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Высокое – Кондратьевка;38 ОП МЗ 38Н-205 ответвление;35.970054;51.457514;35.933572;51.448304;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Высокое – х. Свиридов;38 ОП МЗ 38Н-206;35.973517;51.470231;35.999597;51.461756;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Дьяконово – Суджа – граница с Украиной – Спасское;38 ОП МЗ 38Н-207;35.905593;51.465451;35.929454;51.448362;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Крым – Ленинская Искра – Высокое;38 ОП МЗ 38Н-223;36.138616;51.407562;36.062121;51.414235;
