тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Бяхово;38 ОП МЗ 38Н-154;34.878136;51.268462;34.890657;51.265962;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Рыльск – Коренево – Суджа;38 ОП МЗ 38Н-155;34.919978;51.404846;34.929296;51.406339;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Лобановка;38 ОП МЗ 38Н-157;34.897866;51.404020;34.892380;51.389558;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Комаровка – Глушково – Вишневка;38 ОП МЗ 38Н-158;34.845466;51.301794;34.783633;51.311056;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Краснооктябрьское;38 ОП МЗ 38Н-159;34.893199;51.314893;34.799698;51.345280;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Любимовка – Рыльск – Коренево – Суджа с подъездом к с. Обуховка;38 ОП МЗ 38Н-160;34.900757;51.309561;35.081072;51.314933;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Любимовка – Рыльск – Коренево – Суджа с подъездом к с. Обуховка;38 ОП МЗ 38Н-160 ответвление;34.900757;51.309561;34.958725;51.278050;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Коренево – Троицкое – Успеновка;38 ОП МЗ 38Н-161;34.879847;51.241153;34.935268;51.215618;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Дерюгино;38 ОП МЗ 38Н-561;34.825030;51.484803;34.861931;51.535294;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Жадино;38 ОП МЗ 38Н-562;34.799777;51.494686;34.777563;51.477478;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Журавлино с подъездом к с. Ольговка;38 ОП МЗ 38Н-563 ;34.921426;51.415540;35.105054;51.402420;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Журавлино с подъездом к с. Ольговка;38 ОП МЗ 38Н-563 ответвление;34.921426;51.415540;34.998501;51.405389;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа –  Каучук – Льгов – Суджа;38 ОП МЗ 38Н-564;34.940459;51.400074;35.248814;51.476176;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Нижняя Груня с подъездом к д. Гавриловка;38 ОП МЗ 38Н-567;34.889000;51.425567;35.029418;51.532224;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Нижняя Груня с подъездом к д. Гавриловка;38 ОП МЗ 38Н-567 ответвление;34.889000;51.425567;34.958920;51.535070;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Нижняя Груня с подъездом к д. Гавриловка;38 ОП МЗ 38Н-567 ответвление;34.889000;51.425567;34.911828;51.457780;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Ольговка;38 ОП МЗ 38Н-569;35.015782;51.367945;35.015464;51.401533;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Рыльск – Коренево – Суджа – Секерино;38 ОП МЗ 38Н-570;34.788334;51.502002;34.810564;51.521960;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шептуховка – Сафоновка – Общий Колодезь с подъездом к с. Скрылевка;38 ОП МЗ 38Н-727;35.161175;51.438998;35.096593;51.489490;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шептуховка – Сафоновка – Общий Колодезь с подъездом к с. Скрылевка;38 ОП МЗ 38Н-727 ответвление;35.161175;51.438998;35.128756;51.452281;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Шептуховка – Сафоновка – Общий Колодезь – Каучук;38 ОП МЗ 38Н-728;35.156392;51.474979;35.200900;51.473102;
