тип дорог;Кодификатор;Наименование дороги;Координата начала (x);Координата начала (y);Координата окончания (x);Координата окончания (y);Идентификатор
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Белгородка;38 ОП МЗ 38Н-258;37.715292;51.615137;37.716815;51.606413;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Верхние Апочки;38 ОП МЗ 38Н-264;37.589338;51.620395;37.620159;51.578072;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Ефросимовка;38 ОП МЗ 38Н-269;37.533776;51.618186;37.547659;51.597463;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Ефросимовка – Троицкое;38 ОП МЗ 38Н-270;37.536045;51.615080;37.515891;51.613954;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Ефросимовка – Троицкое;38 ОП МЗ 38Н-270;37.536045;51.615080;37.540122;51.617007;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Афанасьевка;38 ОП МЗ 38Н-273;37.560432;51.716221;37.522130;51.725624;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Александровка – Грязное;38 ОП МЗ 38Н-283;37.606378;51.747056;37.649991;51.695027;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Большая Карповка;38 ОП МЗ 38Н-284;37.746797;51.873872;37.765841;51.869107;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Городище – 1-е Подгородище;38 ОП МЗ 38Н-285;37.561065;51.716454;37.587335;51.704794;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Дубиновка;38 ОП МЗ 38Н-286;37.529190;51.624336;37.491499;51.653920;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Каменогорка;38 ОП МЗ 38Н-287;37.536271;51.701457;37.525504;51.702144;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Красная Долина;38 ОП МЗ 38Н-288;37.658890;51.788983;37.654964;51.753632;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Кшень – Панское – Мансурово;38 ОП МЗ 38Н-289;37.471334;51.767627;37.454115;51.762727;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Кшень – Панское – Мансурово (ответвление);38 ОП МЗ 38Н-289 ответвление;37.471335;51.767628;37.458218;51.774503;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Кшень – Панское;38 ОП МЗ 38Н-290;37.589915;51.734018;37.382097;51.743010;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Октябрьское;38 ОП МЗ 38Н-291;37.629949;51.766036;37.596561;51.821785;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Октябрьское;38 ОП МЗ 38Н-291 ответвление;37.629950;51.766037;37.576354;51.800289;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Петропавловка;38 ОП МЗ 38Н-292;37.558436;51.670337;37.546774;51.668808;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Петропавловка;38 ОП МЗ 38Н-292 ответвление;37.558436;51.670337;37.558689;51.670351;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Петропавловка;38 ОП МЗ 38Н-292 ответвление;37.558436;51.670337;37.574401;51.676026;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Кшенский – граница Липецкой области – Пушкино;38 ОП МЗ 38Н-293;37.706274;51.810316;37.712637;51.805081;
АВТОДОРОГИ РЕГИОНАЛЬНОГО ЗНАЧЕНИЯ;Курск – Борисоглебск – Мочаки;38 ОП МЗ 38Н-294;37.714123;51.619097;37.722577;51.629865;
