Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	200	1
50	100	750	200	1
100	150	750	200	1
150	200	750	200	1
200	250	750	200	1
250	300	750	200	1
300	350	750	200	1
350	400	750	50	4
400	450	750	50	4
450	500	750	200	2
500	550	750	200	2
550	600	750	200	2
600	650	750	150	1
650	700	750	150	1
700	750	750	150	1
750	800	750	50	2
800	850	750	50	2
850	900	750	50	2
900	950	750	50	2
950	1000	750	50	2
