Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
26	123	1					1.75		2		
26	103	2					1.75		2		
133	184	2					1.75		2		
195	715	1					1.75		2		
215	599	2					1.75		2		
610	1036	2					1.75		2		
740	1005	1					1.75		2		
1010	1401	1					1.75		2		
1050	1288	2					1.75		2		
1297	1401	2					1.75		2		
1401	2089	1					1.75		2		
1401	2089	2					1.75		2		
2089	3667	1					1.75		2		
2089	2485	2					1.75		2		
2492	3025	2					1.75		2		
3035	3263	2					1.75		2		
3270	3390	2					1.75		2		
3398	4059	2					1.75		2		
3698	3718	1					1.75		2		
3718	4059	1					1.75		2		
4069	4300	1					1.75		2		
4069	4270	2					1.75		2		
4280	4307	2					1.75		2		
