Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	123	1	2	2	8.0
123	195	1	2	2	6.25
195	715	1	2	2	8.0
715	740	1	2	2	6.25
740	1005	1	2	2	8.0
1005	1010	1	2	2	6.25
1010	1401	1	2	2	8.0
1401	2089	1	2	2	6.25
2089	3667	1	2	2	8.0
3667	3698	1	2	2	6.25
3698	3718	1	2	2	8.0
3718	4059	1	2	2	8.0
4059	4069	1	2	2	6.25
4069	4300	1	2	2	8.0
0	103	2	2	2	8.0
103	133	2	2	2	6.25
133	184	2	2	2	8.0
184	215	2	2	2	6.25
215	599	2	2	2	8.0
599	610	2	2	2	6.25
610	1036	2	2	2	8.0
1036	1050	2	2	2	6.25
1050	1288	2	2	2	8.0
1288	1297	2	2	2	6.25
1297	1401	2	2	2	8.0
1401	2089	2	2	2	6.25
2089	2485	2	2	2	8.0
2485	2492	2	2	2	6.25
2492	3025	2	2	2	8.0
3025	3035	2	2	2	6.25
3035	3263	2	2	2	8.0
3263	3270	2	2	2	6.25
3270	3390	2	2	2	8.0
3390	3398	2	2	2	6.25
3398	4059	2	2	2	8.0
4059	4069	2	2	2	6.25
4069	4270	2	2	2	8.0
4270	4280	2	2	2	6.25
4280	4307	2	2	2	8.0
