Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	100	1
50	100	750	100	1
100	150	750	100	1
150	200	750	100	1
200	250	750	100	1
250	300	750	100	1
300	350	750	300	2
350	400	750	300	2
400	450	750	300	2
450	500	750	300	2
500	550	750	300	2
550	600	750	300	2
600	650	750	300	2
650	700	750	300	2
700	750	750	300	2
750	800	750	300	2
800	850	750	300	2
850	900	750	300	2
900	950	750	100	2
950	1000	750	100	2
1000	1050	750	100	2
1050	1100	750	100	2
1100	1150	750	100	2
1150	1200	750	100	2
1200	1250	750	100	2
1250	1300	750	100	2
1300	1350	750	100	2
1350	1400	750	100	2
1400	1450	750	100	2
1450	1500	750	100	2
1500	1550	750	100	2
1550	1600	750	100	2
1600	1650	750	100	2
1650	1700	750	100	2
1700	1750	750	100	2
1750	1800	750	100	2
1800	1850	750	100	2
1850	1900	750	100	2
1900	1950	750	100	2
1950	2000	750	100	2
2000	2050	750	100	2
2050	2100	750	100	2
2100	2150	750	100	2
2150	2200	750	100	2
2200	2250	750	300	4
2250	2300	750	300	4
2300	2350	750	300	4
2350	2400	750	300	4
2400	2450	750	300	4
2450	2500	750	300	4
2500	2550	750	300	4
2550	2600	750	300	4
2600	2650	750	300	4
2650	2700	750	300	4
2700	2750	750	300	4
2750	2800	750	300	4
2800	2850	750	300	4
2850	2900	750	300	4
2900	2950	750	300	4
2950	3000	750	300	4
3000	3050	750	300	4
3050	3100	750	300	4
3100	3150	750	300	4
3150	3200	750	300	4
3200	3250	750	200	2
3250	3300	750	200	2
3300	3350	750	200	2
3350	3400	750	200	1
3400	3450	750	200	1
3450	3500	750	200	1
3500	3550	750	200	1
3550	3600	750	200	1
3600	3650	750	200	1
3650	3700	750	200	1
3700	3750	750	200	1
3750	3800	750	200	1
3800	3850	750	200	1
3850	3900	750	200	1
3900	3950	750	200	1
3950	4000	750	200	1
4000	4050	750	200	1
4050	4100	750	200	1
4100	4150	750	200	1
4150	4200	750	200	1
4200	4250	750	200	1
4250	4300	750	200	1
