Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	400	4
50	100	750	400	4
100	150	750	400	4
150	200	750	400	4
200	250	750	400	4
250	300	750	400	4
300	350	750	400	4
350	400	750	400	4
400	450	750	400	4
450	500	750	400	4
500	550	750	400	4
550	600	750	400	4
600	650	750	200	3
650	700	750	200	3
700	750	750	400	4
750	800	750	400	4
800	850	750	400	4
850	900	750	400	4
900	950	750	400	4
950	1000	750	400	4
1000	1050	750	400	4
1050	1100	750	400	4
1100	1150	750	400	4
1150	1200	750	400	4
1200	1250	750	300	2
1250	1300	750	300	2
1300	1317	750	300	2
