Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	244	1	2	2	3
244	247	1	2	2	5
247	380	1	2	2	3
380	572	1	2	2	3
572	582	1	2	2	3
582	1030	1	2	2	5
1030	1050	1	2	2	3
1050	2302	1	2	2	5
2302	2312	1	2	2	3
2312	2522	1	2	2	5
2522	2530	1	2	2	3
2530	3284	1	2	2	5
3284	3295	1	2	2	3
3295	3370	1	2	2	5
0	31	2	2	2	5
31	62	2	2	2	5
62	370	2	2	2	6
370	380	2	2	2	5
380	386	2	2	2	3
386	595	2	2	2	5
595	620	2	2	2	3
620	1590	2	2	2	5
1590	1590	2	2	2	3
1590	1753	2	2	2	5
1753	1770	2	2	2	3
1770	2302	2	2	2	5
2302	2302	2	2	2	3
2302	2520	2	2	2	5
2520	3355	2	2	2	5
