Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
36	414	1					2		2		
36	77	2					2		2		
77	275	2					2		2		
280	420	2					2		2		
420	1339	1					2		2		
424	689	2					2		2		
699	715	2					2		2		
719	855	2					2		2		
859	923	2					2		2		
928	1023	2					2		2		
1028	1345	2					2		2		
1360	1396	1					2		2		
1345	1386	2					2		2		
1467	1508	2					2		2		
1470	1640	1					2		2		
1515	1629	2					2		2		
1645	2192	2					2		2		
1645	1873	1					2		2		
1878	1885	1					2		2		
1905	2192	1					2		2		
2241	2384	1					2		2		
2241	2285	2					2		2		
2343	2374	2					2		2		
2526	2667	2					2		2		
2384	2526	1					2		2		
2526	2679	1					2		2		
2679	3390	2					2		2		
2699	3230	1					2		2		
3238	3390	1					2		2		
