Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	414	1	2	2	5
414	420	1	2	2	3
420	1339	1	2	2	5
1339	1360	1	2	2	3
1360	1396	1	2	2	5
1396	1470	1	2	2	3
1470	1640	1	2	2	5
1640	1645	1	2	2	3
1645	1873	1	2	2	5
1873	1878	1	2	2	3
1878	1885	1	2	2	5
1885	1905	1	2	2	3
1905	2192	1	2	2	5
2192	2205	1	2	2	3
2205	2241	1	2	2	4
2241	2384	1	2	2	5
2384	2526	1	2	2	5
2526	2526	1	2	2	3
2526	2679	1	2	2	5
2679	2699	1	2	2	3
2699	3230	1	2	2	5
3230	3238	1	2	2	3
3238	3390	1	2	2	5
0	77	2	2	2	5
77	275	2	2	2	5
275	280	2	2	2	3
280	420	2	2	2	5
420	424	2	2	2	3
424	689	2	2	2	5
689	699	2	2	2	3
699	715	2	2	2	5
715	719	2	2	2	3
719	855	2	2	2	5
855	859	2	2	2	3
859	923	2	2	2	5
923	928	2	2	2	3
928	1023	2	2	2	5
1023	1028	2	2	2	3
1028	1345	2	2	2	5
1345	1345	2	2	2	3
1345	1386	2	2	2	5
1386	1467	2	2	2	3
1467	1508	2	2	2	5
1508	1515	2	2	2	3
1515	1629	2	2	2	5
1629	1645	2	2	2	3
1645	2192	2	2	2	5
2192	2241	2	2	2	3
2241	2285	2	2	2	5
2285	2343	2	2	2	3
2343	2374	2	2	2	5
2374	2526	2	2	2	3
2526	2667	2	2	2	5
2667	2679	2	2	2	3
2679	3390	2	2	2	5
