Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1817	1	2	2	8.0
1817	1830	1	2	2	6.25
1830	2711	1	2	2	8.0
2711	2721	1	2	2	6.25
2721	5555	1	2	2	8.0
5555	5830	1	2	2	3.0
5830	8584	1	2	2	6.25
8584	8738	1	2	2	3.0
8738	8879	1	2	2	6.25
8879	8899	1	2	2	3.0
8899	8940	1	2	2	6.25
0	1817	2	2	2	8.0
1817	1830	2	2	2	6.25
1830	2711	2	2	2	8.0
2711	2721	2	2	2	6.25
2721	3830	2	2	2	8.0
3830	3838	2	2	2	6.25
3838	4408	2	2	2	8.0
4408	4425	2	2	2	6.25
4425	4798	2	2	2	8.0
4798	4815	2	2	2	6.25
4815	4938	2	2	2	8.0
4938	4950	2	2	2	6.25
4950	5555	2	2	2	8.0
5555	5575	2	2	2	3.0
5575	8788	2	2	2	6.25
8788	8797	2	2	2	3.0
8797	8899	2	2	2	6.25
8899	8930	2	2	2	3.0
8930	8940	2	2	2	6.25
