Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	200	200	3
50	100	200	200	3
100	150	200	200	3
150	200	200	200	3
200	250	200	200	3
250	300	200	200	3
300	350	200	200	3
350	400	500	500	3
400	450	500	500	3
450	500	500	500	3
500	550	500	500	3
550	600	500	500	3
600	650	500	500	3
650	700	500	500	3
700	750	500	500	3
750	800	500	500	3
800	850	500	500	3
850	900	500	500	3
900	950	500	500	3
950	1000	500	500	3
1000	1050	500	500	3
1050	1100	500	500	3
1100	1150	500	500	3
1150	1200	500	500	3
1200	1250	500	500	3
1250	1300	500	500	3
1300	1350	500	500	3
1350	1400	500	500	3
1400	1450	500	500	3
1450	1500	500	500	3
1500	1550	500	500	3
1550	1600	500	500	3
1600	1650	500	500	3
1650	1700	500	500	3
1700	1750	500	500	3
1750	1800	500	500	3
1800	1850	500	500	3
1850	1900	500	500	3
1900	1950	500	500	3
1950	2000	500	500	3
2000	2050	500	500	3
2050	2100	500	500	3
2100	2150	500	500	3
2150	2200	500	500	3
2200	2250	500	500	3
2250	2300	500	500	3
2300	2350	500	500	3
2350	2400	500	500	3
2400	2450	500	500	3
2450	2500	500	500	3
2500	2550	500	500	3
2550	2600	500	500	3
2600	2650	500	500	3
2650	2700	500	500	3
2700	2750	500	500	3
2750	2800	500	500	3
2800	2850	500	500	3
2850	2900	500	500	3
2900	2950	500	500	3
2950	3000	500	500	3
3000	3050	500	500	3
3050	3100	500	500	3
3100	3150	500	500	3
3150	3200	500	500	3
3200	3250	500	500	3
3250	3300	500	500	3
3300	3350	500	500	3
3350	3400	500	500	3
3400	3450	500	500	3
3450	3500	500	500	3
3500	3550	500	500	3
3550	3600	500	500	3
3600	3650	500	500	3
3650	3700	500	500	3
3700	3750	500	500	3
3750	3800	500	500	3
3800	3850	500	500	3
3850	3900	500	500	3
3900	3950	500	500	3
3950	4000	500	500	3
4000	4050	500	500	3
4050	4100	500	500	3
4100	4150	500	500	3
4150	4200	500	500	3
4200	4250	200	200	3
4250	4300	200	200	3
4300	4350	200	200	3
4350	4400	200	200	3
4400	4450	200	200	3
4450	4500	500	500	3
4500	4550	500	500	3
4550	4600	500	500	3
4600	4650	500	500	3
4650	4700	500	500	3
4700	4750	500	500	3
4750	4800	500	500	3
4800	4850	500	500	3
4850	4900	500	500	3
4900	4950	500	500	3
4950	5000	500	500	3
5000	5050	500	500	3
5050	5100	500	500	3
5100	5150	500	500	3
5150	5200	500	500	3
5200	5250	500	500	3
5250	5300	500	500	3
5300	5350	500	500	3
5350	5400	500	500	3
5400	5450	500	500	3
5450	5500	500	500	3
5500	5550	750	200	2
5550	5600	750	200	2
5600	5650	750	200	2
5650	5700	750	200	2
5700	5750	750	200	2
5750	5800	750	200	2
5800	5850	750	200	2
5850	5900	750	200	2
5900	5950	750	200	2
5950	6000	750	200	2
6000	6050	750	200	2
6050	6100	750	200	2
6100	6150	750	200	2
6150	6200	750	200	2
6200	6250	750	100	2
6250	6300	750	100	2
6300	6350	750	100	2
6350	6400	750	100	2
6400	6450	750	100	2
6450	6500	750	100	2
6500	6550	750	100	2
6550	6600	750	100	2
6600	6650	750	100	2
6650	6700	750	100	2
6700	6750	750	100	2
6750	6800	750	100	2
6800	6850	750	100	2
6850	6900	750	100	2
6900	6950	750	100	2
