Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	4.01	0.0						
200.0	300.0	5.69	7.16						
300.0	400.0	4.5	4.43						
400.0	500.0	7.0	6.85						
500.0	600.0	6.12	4.2						
600.0	700.0	0.0	5.67						
700.0	800.0	5.67	0.0						
800.0	900.0	0.0	0.0						
900.0	1000.0	4.46	0.0						
1000.0	1100.0	6.01	6.82						
1100.0	1200.0	4.15	6.12						
1200.0	1300.0	4.84	6.81						
1300.0	1400.0	4.89	4.76						
1400.0	1500.0	0.0	4.21						
1500.0	1560.294	0.0	0.0						
