Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	205	1	2	2	5
205	230	1	2	2	3
230	280	1	2	2	5
280	296	1	2	2	3
296	326	1	2	2	5
326	347	1	2	2	3
347	622	1	2	2	5
622	632	1	2	2	3
632	652	1	2	2	4
652	662	1	2	2	3
662	835	1	2	2	4
835	855	1	2	2	5
855	1180	1	2	2	5
1180	1190	1	2	2	5
1190	1537	1	2	2	5
0	256	2	2	2	5
256	316	2	2	2	5
316	326	2	2	2	3
326	335	2	2	2	5
335	337	2	2	2	3
337	347	2	2	2	5
347	357	2	2	2	3
357	855	2	2	2	5
855	1537	2	2	2	5
