Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	300	4
50	100	750	300	4
100	150	750	300	4
150	200	750	300	4
200	250	750	300	4
250	300	750	300	4
300	350	100	100	3
350	400	100	100	3
400	450	100	100	3
450	500	100	100	3
500	550	100	100	3
550	600	100	100	3
600	650	100	100	3
650	700	100	100	3
700	750	750	300	2
750	800	750	300	2
800	850	750	300	2
850	900	750	300	2
900	950	750	300	2
950	1000	750	300	2
1000	1050	750	300	2
1050	1100	750	300	2
1100	1150	750	300	2
