Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
9167	2	1	1.11.2		1	1
9195	2	1	5.23.1	Амосовка	2	1
9195	1	2	5.24.1	Амосовка	2	1
9278	13	1	2.4		1	1
9280	1	1	5.16		9	1
9280	2	2	5.16		9	1
9349	2	2	5.16		9	1
9513	2	2	1.11.1		1	1
9513	2	2	2.3.3		1	1
9798	2	1	1.11.1		1	1
9961	12	1	2.4		1	1
10042	12	1	2.4		1	1
10053	13	1	2.4		1	1
10338	13	1	2.4		1	1
10360	2	1	1.23		1	1
10360	2	1	3.24	40	1	1
10630	2	2	3.24	40	1	1
10633	12	1	2.4		1	1
