Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
9195	9273	1	2	2	5
9273	9293	1	2	2	3
9293	9955	1	2	2	5
9955	9986	1	2	2	3
9986	10037	1	2	2	5
10037	10058	1	2	2	3
10058	10282	1	2	2	4
10282	10373	1	2	2	3
10373	10444	1	2	2	4
10444	10465	1	2	2	3
10465	10638	1	2	2	5
10638	10648	1	2	2	3
10648	10841	1	2	2	5
10841	10872	1	2	2	3
10872	10935	1	2	2	5
9195	9243	2	2	2	5
9243	9253	2	2	2	3
9253	9263	2	2	2	5
9263	9283	2	2	2	3
9283	9334	2	2	2	5
9334	9354	2	2	2	3
9354	9457	2	2	2	5
9457	9467	2	2	2	3
9467	9579	2	2	2	5
9579	9600	2	2	2	3
9600	9630	2	2	2	5
9630	9660	2	2	2	3
9660	10037	2	2	2	5
10037	10058	2	2	2	3
10058	10251	2	2	2	4
10251	10262	2	2	2	3
10262	10312	2	2	2	4
10312	10353	2	2	2	3
10353	10455	2	2	2	4
10455	10465	2	2	2	3
10465	10597	2	2	2	5
10597	10607	2	2	2	3
10607	10638	2	2	2	5
10638	10648	2	2	2	3
10648	10935	2	2	2	5
