Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
9195	9200	750	100	3
9200	9250	750	400	4
9250	9300	750	400	4
9300	9350	750	400	4
9350	9400	750	400	4
9400	9450	750	400	4
9450	9500	750	400	4
9500	9550	750	400	4
9550	9600	750	400	4
9600	9650	750	400	4
9650	9700	750	400	4
9700	9750	750	400	4
9750	9800	750	400	4
9800	9850	750	400	4
9850	9900	750	400	4
9900	9950	750	400	4
9950	10000	750	400	4
10000	10050	750	200	1
10050	10100	750	200	1
10100	10150	750	200	1
10150	10200	750	200	1
10200	10250	750	200	1
10250	10300	750	200	1
10300	10350	750	200	1
10350	10400	750	200	1
10400	10450	750	200	1
10450	10500	750	400	3
10500	10550	750	400	3
10550	10600	750	400	3
10600	10650	750	400	3
10650	10700	750	400	3
10700	10750	750	300	2
10750	10800	750	300	2
10800	10850	750	300	2
10850	10900	750	300	2
10900	10935	750	300	2
