Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	129	1	2	2	5
129	312	1	2	2	3
312	322	1	2	2	3
322	506	1	2	2	5
506	526	1	2	2	3
526	598	1	2	2	5
598	618	1	2	2	3
618	679	1	2	2	5
679	689	1	2	2	3
689	791	1	2	2	5
791	810	1	2	2	3
810	902	1	2	2	5
902	922	1	2	2	3
922	944	1	2	2	5
0	99	2	2	2	5
99	108	2	2	2	3
108	200	2	2	2	5
200	231	2	2	2	3
231	312	2	2	2	5
312	340	2	2	2	3
340	464	2	2	2	5
464	475	2	2	2	3
475	506	2	2	2	5
506	526	2	2	2	3
526	598	2	2	2	5
598	618	2	2	2	3
618	800	2	2	2	5
800	804	2	2	2	3
804	944	2	2	2	5
