Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	500	500	3
50	100	500	500	3
100	150	500	500	3
150	200	500	500	3
200	250	500	500	3
250	300	500	500	3
300	350	500	500	3
350	400	500	500	3
400	450	500	500	3
450	500	500	500	3
500	550	500	500	3
550	600	100	300	2
600	650	100	300	2
650	700	100	300	2
700	750	750	300	2
750	800	750	300	2
800	850	100	100	3
850	900	100	100	3
900	944	100	100	3
