Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
41	133	1					2		1		
41	92	2					2		1		
133	2320	1					2		1		
133	846	2					2		1		
866	2313	2					2		1		
2320	3092	2					2		1		
2339	3306	1					2		1		
3112	4469	2					2		1		
3317	4306	1					2		1		
4316	4926	1					2		1		
4499	4713	2					2		1		
4723	5120	2					2		1		
4947	5129	1					2		1		
5139	5231	2					2		1		
5272	5476	1					2		1		
5252	5588	2					2		1		
5486	5588	1					2		1		
5608	5954	2					2		2		
5924	5944	1					2		2		
5954	6005	1					2		2		
6005	6051	1					2		2		
5965	6051	2					2		2		
6081	6173	1					2		2		
6081	6173	2					2		2		
6213	6336	2					2		2		
6234	6236	1					2		2		
6356	6377	1					2		2		
6387	8224	1					2		2		
6356	6427	2					2		2		
6438	7703	2					2		2		
7710	8224	2					2		2		
8260	9185	1					2		2		
