Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
52.63	1000.0	0.0	0.0						
1000.0	2000.0	2.82	5.18						
2000.0	3000.0	3.78	3.0						
3000.0	4000.0	1.98	0.0						
4000.0	5000.0	3.87	4.06						
5000.0	6000.0	4.19	2.37						
6000.0	7000.0	4.4	4.01						
7000.0	8000.0	2.88	3.73						
8000.0	9000.0	2.88	3.66						
9000.0	9185.81	2.91	2.1						
