Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
40	2	2	2.4		1	1
83	2	1	6.12	Панино 5, Амосовка 10	2	1
107	2	1	5.16		9	1
107	1	2	5.16		9	1
703	2	1	2.3.2		1	1
866	13	1	2.4		1	1
1015	2	2	2.3.3		1	1
4190	2	1	5.23.1	Панино 	2	1
4190	1	2	5.24.1	Панино 	2	1
4380	2	1	2.3.2		1	1
4490	13	1	2.4		1	1
4540	2	1	2.3.3		1	1
4540	2	1	1.11.1		1	1
4685	2	2	2.3.3		1	1
4918	12	1	2.4		1	1
5060	2	1	2.3.1		1	1
5089	2	2	2.3.2		1	1
5089	2	2	1.11.2		1	1
5130	12	1	2.4		1	1
5133	13	1	2.4		1	1
5211	1	1	5.16		9	1
5211	2	2	5.16		9	1
5212	12	1	2.4		1	1
5263	2	1	1.13		1	1
5295	2	1	1.11.2		1	1
5315	2	2	2.3.1		1	1
5476	12	1	2.4		1	1
5490	2	1	2.3.1		1	1
5490	2	1	1.23		1	1
5550	2	1	6.12	Тарусовка 1	2	1
5669	2	2	6.12	Тарусовка 1	2	1
5863	2	2	1.14		1	1
5863	2	2	2.3.1		1	1
5893	2	2	1.11.1		1	1
5924	12	1	2.4		1	1
5946	2	1	2.3.1		1	1
6051	12	1	2.4		1	1
6061	13	1	2.4		1	1
6178	12	1	2.4		1	1
6218	12	1	2.4		1	1
6311	2	2	2.3.1		1	1
6351	13	1	2.4		1	1
6433	13	1	2.4		1	1
6434	2	2	2.3.2		2	1
7875	2	1	2.3.3		1	1
8229	12	1	2.4		1	1
8412	2	2	2.3.2		1	1
9086	2	1	2.3.2		1	1
9167	2	1	1.11.2		1	1
