Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	133	1	2	2	5
133	2320	1	2	2	5
2320	2339	1	2	2	3
2339	3306	1	2	2	5
3306	3317	1	2	2	3
3317	4306	1	2	2	5
4306	4316	1	2	2	3
4316	4926	1	2	2	5
4926	4947	1	2	2	3
4947	5129	1	2	2	5
5129	5272	1	2	2	3
5272	5476	1	2	2	5
5476	5486	1	2	2	3
5486	5588	1	2	2	5
5588	5924	1	2	2	3
5924	5944	1	2	2	5
5944	5954	1	2	2	3
5954	6005	1	2	2	5
6005	6051	1	2	2	5
6051	6081	1	2	2	3
6081	6173	1	2	2	5
6173	6234	1	2	2	3
6234	6236	1	2	2	5
6356	6377	1	2	2	5
6377	6387	1	2	2	3
6387	8224	1	2	2	5
8224	8260	1	2	2	3
8260	9185	1	2	2	5
0	92	2	2	2	5
92	133	2	2	2	3
133	846	2	2	2	5
846	866	2	2	2	3
866	2313	2	2	2	5
2313	2320	2	2	2	3
2320	3092	2	2	2	5
3092	3112	2	2	2	3
3112	4469	2	2	2	5
4469	4499	2	2	2	3
4499	4713	2	2	2	5
4713	4723	2	2	2	3
4723	5120	2	2	2	5
5120	5139	2	2	2	3
5139	5231	2	2	2	5
5231	5252	2	2	2	3
5252	5588	2	2	2	5
5588	5608	2	2	2	3
5608	5954	2	2	2	5
5954	5965	2	2	2	3
5965	6051	2	2	2	5
6051	6081	2	2	2	3
6081	6173	2	2	2	5
6173	6213	2	2	2	3
6213	6336	2	2	2	5
6336	6356	2	2	2	3
6356	6427	2	2	2	5
6427	6438	2	2	2	3
6438	7703	2	2	2	5
7703	7710	2	2	2	3
7710	8224	2	2	2	5
8224	8260	2	2	2	3
8260	9185	2	2	2	5
