Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
851	2	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
2318	6	в поле	0	0	0	1	6				0	0	0	2	2	12	90	2		
3092	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
3308	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
3397	1	к ангарам	0	0	0	6	6				0	0	0	6	2	12	90	2		
4302	1	в поле	0	0	0	6	6				0	0	0	6	2	12	135	3		
4474	2	к ангарам	0	0	0	6	6				0	0	0	6	3	18	90	2		
4718	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
4921	1	Крым - Амосовка - Чаплыгин Лог	0	0	0	1	6				0	0	0	2	4	24	90	2		
5125	6	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
5236	2	к домам	0	0	0	2	6				0	0	0	5	2	12	90	2		
5481	1	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
5593	6	Крым - Амосовка с подъездами к х. Рождественка, с. Тарусовка(Тарусовка)	0	0	0	1	6				0	0	0	2	7	42	90	2		
5920	1	к храму	0	0	0	6	6				0	0	0	6	2	12	90	2		
5949	1	к магазину	0	0	0	1	6				0	0	0	2	6	36	90	2		
6056	6	"Крым – Амосовка"" – 1-е Панино(разрыв 1)"	0	0	0	1	6				0	0	0	2	5	30	90	2		
6198	2	к домам	0	0	0	1	6				0	0	0	7	2	12	90	2		
6218	1	"""Крым"" – Амосовка"" – 1-е Панино"	0	0	0	1	6				0	0	0	2	3	18	90	2		
6331	1	в поле	0	0	0	1	6				0	0	0	2	2	12	45	2		
6341	2	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
6380	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
6423	2	к кладбищу	0	0	0	1	6				0	0	0	2	2	12	90	2		
7698	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
8229	6	Крым - Амосовка - Петропавловка с подъездом к д. Шатовка	0	0	0	6	6				0	0	0	2	7	42	90	2		
