Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	2.7	3.91						
200.0	300.0	3.47	4.54						
300.0	400.0	4.12	3.97						
400.0	500.0	4.83	3.67						
500.0	600.0	4.65	2.99						
600.0	700.0	2.67	3.47						
700.0	800.0	0.0	0.0						
800.0	900.0	0.0	2.66						
900.0	1000.0	3.38	3.25						
1000.0	1100.0	2.91	2.97						
1100.0	1200.0	4.68	3.43						
1200.0	1300.0	0.0	3.34						
1300.0	1400.0	3.96	4.47						
1400.0	1500.0	0.0	0.0						
1500.0	1500.206								
