Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	200	200	3
50	100	200	200	3
100	150	200	200	3
150	200	200	200	3
200	250	200	200	3
250	300	200	200	3
300	350	200	200	3
350	400	200	200	3
400	450	200	200	3
450	500	200	200	3
500	550	200	200	3
550	600	200	200	3
600	650	200	200	3
650	700	200	200	3
700	750	200	200	3
750	800	200	200	3
800	850	200	200	3
850	900	200	200	3
900	950	200	200	3
950	1000	200	200	3
1000	1050	750	100	1
1050	1100	750	100	1
1100	1150	750	100	1
1150	1200	750	100	1
1200	1250	750	100	1
1250	1300	750	100	1
1300	1350	750	100	1
1350	1400	750	100	1
1400	1450	750	100	1
1450	1483	750	100	1
