Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	400	2
50	100	750	400	2
100	150	750	400	2
150	200	750	400	2
200	250	750	400	2
250	300	750	400	2
300	350	750	400	2
350	400	750	400	2
400	450	750	400	2
450	500	750	400	2
500	550	750	400	2
550	600	750	400	2
600	650	750	400	2
650	700	750	400	2
700	750	750	400	2
750	800	750	400	2
800	850	750	400	2
850	900	750	400	2
900	950	750	400	2
950	1000	750	400	2
1000	1050	150	150	3
1050	1100	150	150	3
1100	1150	150	150	3
1150	1200	300	400	4
1200	1250	300	400	4
1250	1300	300	400	4
1300	1350	300	400	4
1350	1400	300	400	4
1400	1450	300	400	4
1450	1500	300	400	4
1500	1550	300	400	4
1550	1600	300	400	4
1600	1650	300	400	4
1650	1700	300	400	4
1700	1750	300	400	4
1750	1800	300	400	4
1800	1850	300	400	4
1850	1900	750	400	4
1900	1950	750	400	4
1950	2000	750	400	4
2000	2050	750	400	4
2050	2100	750	400	4
2100	2150	750	400	4
2150	2200	750	400	4
2200	2250	750	400	4
2250	2300	750	400	4
2300	2350	750	400	4
2350	2400	750	400	4
2400	2450	750	400	4
2450	2500	750	400	4
2500	2550	750	400	4
2550	2600	750	400	4
2600	2650	750	400	4
2650	2700	750	400	4
2700	2750	750	400	4
2750	2800	750	400	4
2800	2850	750	400	4
2850	2900	750	400	4
2900	2950	750	400	4
2950	3000	750	400	4
3000	3050	750	400	4
3050	3100	750	400	4
3100	3150	750	400	4
3150	3200	750	400	4
3200	3250	750	400	4
3250	3300	750	400	4
3300	3350	750	200	2
3350	3400	750	200	2
3400	3450	750	200	2
3450	3500	300	300	3
3500	3550	300	300	3
3550	3600	300	300	3
3600	3650	300	300	3
3650	3700	300	300	3
3700	3750	300	300	3
3750	3800	300	300	3
3800	3850	300	300	3
3850	3900	300	300	3
3900	3950	300	300	3
3950	4000	300	300	3
4000	4050	300	300	3
4050	4100	300	300	3
4100	4129	300	300	3
