Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	0.0	0.0						
200.0	300.0	0.0	4.25						
300.0	400.0	3.9	5.58						
400.0	500.0	4.41	3.93						
500.0	600.0	3.39	1.82						
600.0	700.0	3.97	2.82						
700.0	800.0	5.32	2.02						
800.0	900.0	3.27	3.01						
900.0	1000.0	2.03	2.04						
1000.0	1100.0	2.63	2.21						
1100.0	1200.0	1.9	1.98						
1200.0	1300.0	2.94	2.25						
1300.0	1400.0	1.67	1.94						
1400.0	1500.0	3.35	1.84						
1500.0	1600.0	2.98	2.33						
1600.0	1700.0	3.55	3.74						
1700.0	1800.0	3.17	4.12						
1800.0	1900.0	3.21	0.0						
1900.0	2000.0	3.77	2.85						
2000.0	2100.0	2.05	3.52						
2100.0	2200.0	0.0	4.97						
2200.0	2300.0	0.0	0.0						
2300.0	2400.0	3.63	0.0						
2400.0	2500.0	5.21	3.59						
2500.0	2525.431								
