Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
28	1	2	2.4		1	1
79	2	1	3.24	40.0	1	1
99	2	1	1.23		1	1
130	2	1	3.24	40.0	1	1
130	2	1	1.17		1	1
130	1	2	3.25		1	1
155	2	1	1.23		1	1
155	2	1	8.2.1		1	1
190	2	1	1.17		1	1
201	2	1	5.19.1		1	1
210	1	2	5.19.2		1	1
241	1	2	1.17		1	1
272	1	2	8.2.1		1	1
272	1	2	1.23		1	1
282	1	2	1.17		1	1
282	1	2	3.24	40.0	1	1
293	2	1	3.25		1	1
313	1	2	1.23		1	1
334	1	2	3.24		1	1
567	2	1	1.11.1		1	1
680	1	2	3.4		1	1
812	1	2	2.3.2		1	1
1566	1	2	2.3.2		1	1
