Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	710	1	2	2	5
710	720	1	2	2	3
720	812	1	2	2	5
812	822	1	2	2	3
822	832	1	2	2	5
832	837	1	2	2	3
837	920	1	2	2	5
920	925	1	2	2	3
925	1016	1	2	2	5
1016	1020	1	2	2	3
1020	1210	1	2	2	5
1210	1220	1	2	2	3
1220	1523	1	2	2	5
1523	1530	1	2	2	3
1530	1515	1	2	2	5
1515	1525	1	2	2	3
1525	1825	1	2	2	5
1825	1830	1	2	2	3
1830	2155	1	2	2	5
2155	2165	1	2	2	3
2165	2257	1	2	2	5
2257	2267	1	2	2	3
2267	2390	1	2	2	5
2390	2390	1	2	2	3
2390	2555	1	2	2	3
0	135	2	2	2	5
135	150	2	2	2	3
150	175	2	2	2	5
175	231	2	2	2	3
231	251	2	2	2	5
251	293	2	2	2	3
293	690	2	2	2	5
690	710	2	2	2	3
710	812	2	2	2	5
812	1515	2	2	2	5
1515	1525	2	2	2	3
1525	2125	2	2	2	5
2125	2135	2	2	2	3
2135	2260	2	2	2	5
2260	2290	2	2	2	3
2290	2502	2	2	2	5
2502	2530	2	2	2	3
2530	2550	2	2	2	3
