Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	200	1
50	100	750	200	1
100	150	750	200	1
150	200	750	200	1
200	250	750	200	1
250	300	750	200	1
300	350	750	200	1
350	400	750	200	1
400	450	750	200	1
450	500	750	200	1
500	550	750	200	1
550	600	750	200	1
600	650	750	100	2
650	700	750	300	1
700	750	750	300	1
750	800	750	300	1
800	850	750	300	1
850	900	750	300	1
900	950	750	300	1
950	1000	750	300	1
1000	1050	750	300	1
1050	1100	750	300	1
1100	1150	750	300	1
1150	1200	750	300	1
1200	1250	750	400	4
1250	1300	750	400	4
1300	1350	750	400	4
1350	1400	750	400	4
1400	1450	750	400	4
1450	1500	750	400	4
1500	1550	750	400	4
1550	1600	750	400	4
1600	1650	750	400	4
1650	1700	750	400	4
1700	1750	750	400	4
1750	1800	750	400	4
1800	1850	750	400	4
1850	1900	750	400	4
1900	1950	750	400	4
1950	2000	750	400	4
2000	2050	750	400	4
2050	2100	750	400	4
2100	2150	750	100	1
2150	2200	750	300	1
2200	2250	750	300	1
2250	2300	750	300	1
2300	2350	750	300	1
2350	2400	750	300	1
2400	2440	750	300	1
