Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
12	1	к деревне	0	0	0	1	6				0	0	0	2	7	42	90	2		
20	1	к деревне	0	0	0	1	6				0	0	0	2	7	42	90	2		
133	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
695	2	к деревне	0	0	0	1	6				1	0	0	2	7	42	90	2		
807	1	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
827	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
919	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1020	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1113	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1215	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
1419	1	Крым - Гахово - Александровка - усадьба писателя К.Д. Воробьева	0	0	0	1	6				0	0	0	2	3	18	90	2		
1510	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
1520	1	к домам	0	0	0	2	6				0	0	0	6	2	12	90	2		
1825	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	2		
2130	2	к предприятию	0	0	0	1	6				0	0	0	2	20	120	45	2		
2160	1	к домам	0	0	0	1	6				0	0	0	2	5	30	90	2		
2263	2	к предприятию	0	0	0	1	6				0	0	0	2	8	48	90	2		
2405	2	к предприятию	0	0	0	1	6				0	0	0	2	8	48	90	2		
2425	1	к предприятию	0	0	0	1	6				0	0	0	2	4	24	90	2		
