Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
38	262	1					2		2		
38	90	2					2		2		
99	373	2					2		2		
262	395	1					2		2		
380	397	2					2		2		
405	750	1					2		2		
407	527	2					2		2		
532	595	2					2		2		
608	736	2					2		2		
741	1023	2					2		2		
760	1251	1					2		2		
1031	1165	2					2		2		
1171	1255	2					2		2		
1271	1602	1					2		2		
1267	1278	2					2		2		
1289	1398	2					2		2		
1405	1515	2					2		2		
1525	1575	2					2		2		
1620	2159	2					2		2		
1618	2170	1					2		2		
2187	2368	2					2		2		
2185	3221	1					2		2		
2371	2439	2					2		2		
2443	4848	2					2		2		
3233	3562	1					2		2		
3582	3595	1					2		2		
3602	4848	2					2		2		
4860	5268	1					2		2		
4860	5000	2					2		2		
5004	5040	2					2		2		
5043	5071	2					2		2		
5075	5244	2					2		2		
5285	5288	2					2		2		
5287	5420	1					2		2		
5291	5491	2					2		2		
5426	5473	1					2		2		
5481	5521	1					2		2		
5541	5560	2					2		2		
5532	5560	1					2		2		
5565	6040	1					2		2		
5565	5741	2					2		2		
5765	5828	2					2		2		
6031	6084	2					2		2		
