Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
42.0	1.0	2.0	2.4		1	1
63.0	2.0	1.0	1.11.2		1	1
267.0	1.0	2.0	1.11.1		1	1
348.0	2.0	1.0	7.1		1	1
348.0	2.0	1.0	8.1.3		1	1
460.0	1.0	2.0	7.1		1	1
460.0	1.0	2.0	8.1.3		1	1
501.0	2.0	1.0	1.11.1		1	1
888.0	1.0	2.0	1.11.2		1	1
1266.0	2.0	1.0	5.16		9	1
1744.0	1.0	2.0	2.3.1		1	1
2213.0	2.0	1.0	1.11.2		1	1
2558.0	2.0	1.0	1.34.3		1	1
2619.0	1.0	1.0	5.24.1	В. Реутец	1	1
2619.0	2.0	1.0	5.23.1	В. Реутец	1	1
2864.0	1.0	2.0	1.11.1		1	1
3078.0	2.0	1.0	1.11.1		1	1
3240.0	1.0	2.0	1.34.2		1	1
3414.0	1.0	2.0	1.11.2		1	1
4900.0	1.0	2.0	5.24.1	Реутчанский	2	1
4900.0	2.0	1.0	5.23.1	Реутчанский	2	1
5124.0	2.0	1.0	6.10.1	Шевелево, Каменка	2	1
5155.0	2.0	1.0	1.11.2		1	1
5216.0	2.0	1.0	2.1		1	1
5116.0	2.0	1.0	8.13		1	1
5266.0	1.0	2.0	2.4		1	1
5338.0	3.0	2.0	3.24	40	1	1
5348.0	1.0	2.0	1.11.1		1	1
5521.0	2.0	1.0	5.16		9	1
5765.0	1.0	2.0	3.24	40	1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
					1	1
