Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	262	1	2	2	5
262	395	1	2	2	5
395	405	1	2	2	3
405	750	1	2	2	5
750	760	1	2	2	3
760	1251	1	2	2	5
1251	1271	1	2	2	3
1271	1602	1	2	2	5
1602	1618	1	2	2	3
1618	2170	1	2	2	5
2170	2185	1	2	2	3
2185	3221	1	2	2	5
3221	3233	1	2	2	3
3233	3562	1	2	2	5
3562	3582	1	2	2	3
3582	3595	1	2	2	5
3595	4860	1	2	2	3
4860	5268	1	2	2	5
5268	5287	1	2	2	3
5287	5420	1	2	2	5
5420	5426	1	2	2	3
5426	5473	1	2	2	5
5473	5481	1	2	2	3
5481	5521	1	2	2	5
5521	5532	1	2	2	3
5532	5560	1	2	2	5
5560	5565	1	2	2	3
5565	6040	1	2	2	5
0	90	2	2	2	5
99	373	2	2	2	5
373	380	2	2	2	3
380	397	2	2	2	5
397	407	2	2	2	3
407	527	2	2	2	5
527	532	2	2	2	3
532	595	2	2	2	5
595	608	2	2	2	3
608	736	2	2	2	5
736	741	2	2	2	3
741	1023	2	2	2	5
1023	1031	2	2	2	3
1031	1165	2	2	2	5
1165	1171	2	2	2	3
1171	1255	2	2	2	5
1255	1267	2	2	2	3
1267	1278	2	2	2	5
1278	1289	2	2	2	3
1289	1398	2	2	2	5
1398	1405	2	2	2	3
1405	1515	2	2	2	5
1515	1525	2	2	2	3
1525	1575	2	2	2	5
1575	1620	2	2	2	3
1620	2159	2	2	2	5
2159	2187	2	2	2	3
2187	2368	2	2	2	5
2368	2371	2	2	2	3
2371	2439	2	2	2	5
2439	2443	2	2	2	3
2443	4848	2	2	2	5
4848	3602	2	2	2	3
3602	4848	2	2	2	5
4848	4860	2	2	2	3
4860	5000	2	2	2	5
5000	5004	2	2	2	3
5004	5040	2	2	2	5
5040	5043	2	2	2	3
5043	5071	2	2	2	5
5071	5075	2	2	2	3
5075	5244	2	2	2	5
5244	5285	2	2	2	3
5285	5288	2	2	2	5
5288	5291	2	2	2	3
5291	5491	2	2	2	5
5491	5541	2	2	2	3
5541	5560	2	2	2	5
5560	5565	2	2	2	3
5565	5741	2	2	2	5
5741	5765	2	2	2	3
5765	5828	2	2	2	5
5828	6031	2	2	2	3
6031	6084	2	2	2	5
