Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	100	2
50	100	750	400	4
100	150	750	400	4
150	200	750	400	4
200	250	750	400	4
250	300	750	400	4
300	350	750	400	4
350	400	750	400	4
400	450	750	400	4
450	500	750	400	4
500	550	750	400	4
550	600	750	400	4
600	650	750	400	4
650	700	750	400	4
700	750	750	400	4
750	800	750	400	4
800	850	750	400	4
850	900	750	400	4
900	950	750	400	4
950	1000	750	400	4
1000	1050	750	400	4
1050	1100	750	400	4
1100	1150	750	400	4
1150	1200	750	400	4
1200	1250	750	400	4
1250	1300	750	400	4
1300	1350	750	400	4
1350	1400	750	300	2
1400	1450	750	300	2
1450	1500	750	300	2
1500	1550	750	300	2
1550	1600	750	300	2
1600	1650	500	500	3
1650	1700	500	500	3
1700	1750	500	500	3
1750	1800	500	500	3
1800	1850	500	500	3
1850	1900	500	500	3
1900	1950	500	500	3
1950	2000	500	500	3
2000	2050	500	500	3
2050	2100	500	500	3
2100	2150	500	500	3
2150	2200	500	500	3
2200	2250	500	500	3
2250	2300	500	500	3
2300	2350	500	500	3
2350	2400	500	500	3
2400	2450	500	500	3
2450	2500	500	500	3
2500	2550	500	500	3
2550	2600	500	500	3
2600	2650	500	500	3
2650	2700	500	500	3
2700	2750	500	500	3
2750	2800	500	500	3
2800	2850	500	500	3
2850	2900	500	500	3
2900	2950	500	500	3
2950	3000	500	500	3
3000	3050	500	500	3
3050	3100	500	500	3
3100	3150	500	500	3
3150	3200	500	500	3
3200	3250	500	500	3
3250	3300	500	500	3
3300	3350	500	500	3
3350	3400	500	500	3
3400	3450	500	500	3
3450	3500	500	500	3
3500	3550	500	500	3
3550	3600	500	500	3
3600	3650	500	500	3
3650	3700	500	500	3
3700	3750	500	500	3
3750	3800	500	500	3
3800	3850	500	500	3
3850	3900	500	500	3
3900	3950	750	300	2
3950	4000	750	300	2
4000	4050	750	300	2
4050	4100	750	300	2
4100	4150	750	300	2
4150	4200	750	300	2
4200	4250	750	300	2
4250	4300	750	300	2
4300	4350	750	300	2
4350	4400	750	300	2
4400	4450	750	300	2
4450	4500	750	300	2
4500	4550	750	300	2
4550	4600	750	300	2
4600	4650	750	300	2
4650	4700	750	300	2
4700	4750	750	300	2
4750	4800	750	300	2
4800	4850	750	300	2
4850	4900	750	300	2
4900	4950	750	300	2
4950	5000	750	300	2
5000	5050	750	300	2
5050	5100	750	300	2
5100	5150	750	300	2
5150	5200	750	300	2
5200	5250	750	300	2
5250	5300	750	300	2
5300	5350	750	300	2
5350	5400	750	300	2
5400	5450	750	300	2
5450	5500	750	300	2
5500	5550	750	300	2
5550	5600	750	300	2
5600	5650	750	300	2
5650	5700	750	300	2
5700	5750	750	300	2
5750	5800	750	300	2
5800	5850	750	300	2
5850	5900	750	300	2
5900	5950	750	300	2
5950	6000	750	300	2
6000	6050	750	300	2
6050	6100	750	300	2
6100	6150	750	300	2
