Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	100.0	0.0	0.0						
100.0	200.0	3.92	5.78						
200.0	300.0	3.21	4.21						
300.0	400.0	4.86	3.48						
400.0	500.0	3.26	3.22						
500.0	600.0	3.5	5.51						
600.0	700.0	5.25	3.98						
700.0	800.0	4.24	3.58						
800.0	900.0	4.33	3.9						
900.0	1000.0	7.58	3.51						
1000.0	1100.0	5.71	3.58						
1100.0	1200.0	4.37	4.25						
1200.0	1300.0	5.79	4.86						
1300.0	1400.0	3.09	3.76						
1400.0	1500.0	4.15	6.21						
1500.0	1600.0	4.3	3.02						
1600.0	1700.0	6.46	2.47						
1700.0	1800.0	4.16	5.21						
1800.0	1900.0	0.0	3.26						
1900.0	2000.0	4.0	3.99						
2000.0	2100.0	3.74	5.14						
2100.0	2200.0	5.55	3.61						
2200.0	2300.0	4.69	3.47						
2300.0	2400.0	0.0	3.5						
2400.0	2419.208								
