Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	200	2
50	100	750	200	2
100	150	750	200	2
150	200	750	200	2
200	250	750	200	2
250	300	750	200	2
300	350	750	200	2
350	400	750	200	2
400	450	750	300	4
450	500	750	300	4
500	550	750	300	4
550	600	750	300	4
600	650	750	300	4
650	700	750	300	4
700	750	750	300	4
750	800	750	300	4
800	850	200	200	3
850	900	200	200	3
900	950	200	200	3
950	1000	200	200	3
1000	1050	200	200	3
1050	1100	200	200	3
1100	1150	200	200	3
1150	1200	200	200	3
1200	1250	200	200	3
1250	1300	200	200	3
1300	1350	200	200	3
1350	1400	200	200	3
1400	1450	200	200	3
1450	1500	200	200	3
1500	1550	200	200	3
1550	1600	200	200	3
1600	1650	200	200	3
1650	1700	200	200	3
1700	1750	750	100	1
1750	1800	750	100	1
1800	1850	750	100	1
1850	1900	750	100	1
1900	1950	750	100	1
1950	2000	750	100	1
2000	2050	750	100	1
2050	2100	750	100	1
2100	2150	750	100	1
2150	2200	750	100	1
2200	2250	750	100	1
2250	2300	750	100	1
2300	2350	750	100	1
2350	2395	750	100	1
