Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
40	1431	1					2		2		
40	1700	2					2		2		
1440	2667	1					2		2		
1715	2667	2					2		2		
2675	3215	1					2		2		
2675	2710	2					2		2		
2710	3070	2					2		2		
3070	3253	2					2		2		
3230	4179	1					2		2		
3287	3576	2					2		2		
3589	3895	2					2		2		
3904	4179	2					2		2		
4190	4454	1					2		2		
4190	4454	2					2		2		
4464	6290	1					2		2		
4464	4862	2					2		2		
4872	5630	2					2		2		
5640	6305	2					2		2		
6300	6950	1					2		2		
6315	6360	2					2		2		
6385	7350	2					2		2		
6955	9147	1					2		2		
7360	8090	2					2		2		
8096	9147	2					2		2		
9156	9309	1					2		2		
9156	9309	2					2		2		
9319	9360	1					2		2		
9319	9368	2					2		2		
9367	10190	1					2		2		
9375	9740	2					2		2		
9747	10592	2					2		2		
10197	11226	1					2		2		
10602	11084	2					2		2		
11100	11170	2					2		2		
11185	12148	2					2		2		
11245	12148	1					2		2		
12173	13103	1					2		2		
12173	12146	2					2		2		
12147	13052	2					2		2		
13070	13134	2					2		2		
13124	13246	1					2		2		
13154	13250	2					2		2		
13258	14302	2					2		1		
13246	14297	1					2		1		
14312	15542	1					2		1		
14312	14958	2					2		1		
14970	15066	2					2		1		
15086	15782	2					2		1		
15560	16396	1					2		2		
15801	16025	2					2		2		
16045	16120	2					2		2		
16135	16672	2					2		2		
16407	17200	1					2		2		
16680	17157	2					2		2		
17167	18730	2					2		2		
17215	18730	1					2		2		
18740	19489	1					2		2		
18740	19489	2					2		2		
19500	20086	1					2		2		
19500	20086	2					2		2		
20095	22122	1					2		2		
20095	20472	2					2		2		
50485	21175	2					2		2		
21195	22122	2					2		2		
22254	22549	1					2		2		
22254	22539	2					2		2		
22560	22610	1					2		2		
22549	23530	2					2		2		
22615	23348	1					2		2		
23358	24870	1					2		2		
23535	23883	2					2		2		
23910	24845	2					2		2		
24992	25099	2					2		2		
24992	25099	1					2		2		
25125	25297	1					2		2		
25125	25206	2					2		2		
25236	25934	2					2		2		
25318	25903	1					2		2		
26147	26585	1					2		2		
26147	27870	2					2		2		
26590	26728	1					2		2		
26733	27390	1					2		2		
27395	27870	1					2		2		
27870	27885	1					2		1		
27870	27885	2					2		1		
