Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	1000.0	0.0	0.0						
1000.0	2000.0	3.41	6.42						
2000.0	3000.0	1.82	4.11						
3000.0	4000.0	2.36	5.77						
4000.0	5000.0	2.64	4.51						
5000.0	6000.0	3.06	3.06						
6000.0	7000.0	2.99	3.87						
7000.0	8000.0	3.39	3.5						
8000.0	9000.0	4.58	2.24						
9000.0	10000.0	6.66	2.44						
10000.0	11000.0	4.26	2.53						
11000.0	12000.0	2.98	2.33						
12000.0	13000.0	3.34	8.37						
13000.0	14000.0	3.28	9.35						
14000.0	15000.0	3.75	5.91						
15000.0	16000.0	5.8	4.9						
16000.0	17000.0	2.9	6.09						
17000.0	18000.0	2.37	3.32						
18000.0	19000.0	2.0	3.0						
19000.0	20000.0	0.0	8.38						
20000.0	21000.0	3.43	2.98						
21000.0	22000.0	5.83	3.29						
22000.0	23000.0	4.62	3.21						
23000.0	24000.0	3.3	3.84						
24000.0	25000.0	3.74	3.96						
25000.0	26000.0	3.33	1.49						
26000.0	27000.0	6.96	1.35						
27000.0	27831.369	4.67	2.17						
