Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
56	1	2	6.10.1	Медвенка/ Гахово	2	1
209	1	2	2.4		1	1
209	1	2	8.2.1		1	1
1522	2	1	3.24	40	1	1
1522	2	1	1.15		1	1
1563	2	1	2.3.2		1	1
1940	1	2	2.3.3		1	1
3000	2	1	2.3.3		1	1
3264	2	1	5.16		1	1
3345	2	1	2.3.3		1	1
3345	2	1	1.13		1	1
3365	1	2	1.15		1	1
3365	1	2	3.24	40	1	1
3487	1	2	2.3.2		1	1
3823	1	2	2.3.3		1	1
4251	2	1	2.3.2		1	1
4658	1	1	2.3.3		1	1
6058	2	1	2.3.2		1	1
6364	2	1	5.16		1	1
6506	1	2	2.3.1		1	1
7105	2	1	2.3.2		1	1
7471	1	2	2.3.3		1	1
7583	2	1	1.11.1		1	1
8122	1	2	1.11.2		1	1
9390	2	1	1.11.2		1	1
9869	1	2	1.11.1		1	1
10855	2	1	2.3.2		1	1
10936	2	1	7.1		1	1
11048	2	1	6.11		2	1
11069	2	1	1.11.1		1	1
11139	1	2	6.10.1	Спасское	2	1
11170	2	1	5.16		1	1
11191	1	2	2.3.3		1	1
11320	1	2	7.1		1	1
11333	1	2	2.3.1		1	1
11394	1	2	6.10.1	Спасские выселки	1	1
11486	1	2	2.3.3		1	1
12006	2	1	2.3.1		1	1
12219	2	1	2.3.2		1	1
12131	2	1	6.11		2	1
12202	1	2	6.10.1	1-я Переверзевка	2	1
12304	1	2	2.3.1		1	1
12976	2	1	2.3.1		1	1
13052	2	1	5.16		1	1
13134	2	1	6.11		2	1
13154	1	2	2.3.2		1	1
13307	1	2	2.3.2		1	1
14092	2	1	2.3.3		1	1
14897	2	1	2.3.2		1	1
15369	2	1	2.3.3		1	1
15725	1	2	2.3.2		1	1
15746	2	2	6.10.1	2-я Гостомля	2	1
15776	2	1	5.16		1	1
16085	1	2	6.11		2	1
17622	2	1	1.11.1		1	1
18029	1	2	1.11.2		1	1
18548	2	1	2.3.1.		1	1
18660	2	1	6.11		2	1
18772	1	2	6.10.1	1-е Плесы	2	1
18986	2	2	2.3.1		1	1
21236	1	2	6.10.1	2-е Плесы	2	1
21317	1	2	1.12.2		1	1
23096	1	2	2.3.3		1	1
23778	2	1	6.11		2	1
24074	2	1	6.11		2	1
25104	12	1	2.4		1	1
25135	2	1	2.3.2		1	1
25226	1	2	1.34.3		2	1
25277	1	2	6.10.1	Тарасово	2	1
25349	1	2	2.3.3		1	1
25817	2	1	1.11.1		1	1
26367	1	2	1.11.1		1	1
26438	2	1	1.12.1		1	1
27059	1	2	1.12.1		1	1
27151	2	1	1.11.1		1	1
27599	1	2	1.11.2		1	1
27812	2	1	6.11		2	1
27873	2	1	2.4		1	1
