Местоположение начала участка м	Местоположение конца участка м	Код конструкции дорожной одежды	Без дефектов и поперечные одиночные трещины на расстоянии более 40 м (для переходных покрытий отсутствие дефектов)	Зона дефекта	Поперечные одиночные трещины (для переходных покрытий отдельные выбоины) на расстоянии 20-40 м между трещинами	Зона дефекта.1	Поперечные одиночные трещины (для переходных покрытий отдельные выбоины) на расстоянии 10-20 м между трещинами	Зона дефекта.2	Поперечные редкие трещины (для переходных покрытий выбоины) на расстоянии 8-10 м	Зона дефекта.3	Поперечные редкие трещины (для переходных покрытий выбоины) на расстоянии 6-8 м	Зона дефекта.4	Поперечные редкие трещины (для переходных покрытий выбоины) на расстоянии 4-6 м	Зона дефекта.5	Поперечные частые трещины на расстоянии между соседними трещинами 3-4 м	Зона дефекта.6	Поперечные частые трещины на расстоянии между соседними трещинами 2-3 м	Зона дефекта.7	Поперечные частые трещины на расстоянии между соседними трещинами 1-2 м	Зона дефекта.8	Продольная центральная трещина	Зона дефекта.9	Продольные боковые трещины	Зона дефекта.10	Одиночная сетка трещин на площади до 10 м с крупными ячейками (сторона ячейки более 0,5 м)	Зона дефекта.11	Одиночная сетка трещин на площади до 10 м с мелкими ячейками (сторона ячейки менее 0,5 м)	Зона дефекта.12	Густая сетка трещин на площади до 10 м	Зона дефекта.13	Сетка трещин на площади более 10 м при относительной площади, занимаемой сеткой, 30-10%	Зона дефекта.14	Сетка трещин на площади более 10 м при относительной площади, занимаемой сеткой, 60-30%	Зона дефекта.15	Сетка трещин на площади более 10 м при относительной площади, занимаемой сеткой, 90-60%	Зона дефекта.16	Просадки (пучины) при относительной площади просадок 20-10%	Зона дефекта.17	Просадки (пучины) при относительной площади просадок 50-20%	Зона дефекта.18	Просадки (пучины) при относительной площади просадок более 50%	Зона дефекта.19	Проломы дорожной одежды (вскрывшиеся пучины) при относительной площади, занимаемой проломами, 10-5%	Зона дефекта.20	Проломы дорожной одежды (вскрывшиеся пучины) при относительной площади, занимаемой проломами, 30-10%	Зона дефекта.21	Проломы дорожной одежды (вскрывшиеся пучины) при относительной площади, занимаемой проломами,  более 30%	Зона дефекта.22	Одиночные выбоины на покрытиях,содержащих органическое вяжущее(расстояние между выбоинами более 20м)	Зона дефекта.23	Одиночные выбоины на покрытиях,содержащих органическое вяжущее(расстояние между выбоинами 10-20м)	Зона дефекта.24	Редкие выбоины в тех же случая (расстояние 4-10 м)	Зона дефекта.25	Частые выбоины в тех же случая (расстояние 1-4 м)	Зона дефекта.26	Карты заделанных выбоин,залитые трещины	Зона дефекта.27	Поперечные волны,сдвиги	Зона дефекта.28	Колейность при средней глубине колеи <20 мм	Зона дефекта.29	Колейность при средней глубине колеи >=20 мм	Зона дефекта.30
700	800	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
800	900	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
900	1000	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1000	1100	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1100	1200	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1200	1300	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1300	1400	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1400	1500	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1500	1600	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1600	1700	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
