Код дороги	Местоположение, м	Код расположения	Длина трубы, м	Код материала тела трубы	Расстояние от оси проезжей части до трубы на примыкании, м	Код вида перекрываемого препятствия	Код режима протекания воды	Глубина заложения фундамента, м	Код типа основания	Высота насыпи по профилю, м	Высота насыпи над трубой, м	Средний уклон по лотку, ‰	Объем тела трубы, м3	Код изоляции	Год ввода в эксплуатацию	Год последнего кап. ремонта	Код технического состояния	Заиливание (1-да,0-нет)	Раскрытие швов между звеньями (1-да, 0-нет)	Локальные разрушения укрепл. откоса насыпи (1-да, 0-нет)	Размыв русел водотока (1-да, 0-нет)	Высокая трава и древесно-кустарниковая растительность (1-да, 0-нет)	Локальные повреждения оголовков (1-да, 0-нет)	Иные дефекты (1-да, 0-нет)	Дорожная организация, выполнявшая диагностику	Код типа оголовка	Высота оголовка, м	Ширина оголовка, м	Код материала оголовка	Код укрепления русла 	Код укрепления откосов	Поперечное сечение отверстия	Количество отверстий	Диаметр отверстия, м	Высота отверстия, м	Ширина отверстия, м	Толщина стенки трубы, см	Код технического состояния.1	Широта оголовка трубы	Долгота оголовка трубы	Код очертания отверстия трубы 	Код типа оголовка.1	Высота оголовка, м.1	Ширина оголовка, м.1	Код материала оголовка.1	Код укрепления русла .1	Код укрепления откосов.1	Поперечное сечение отверстия.1	Количество отверстий.1	Диаметр отверстия, м.1	Высота отверстия, м.1	Ширина отверстия, м.1	Толщина стенки трубы, см.1	Код технического состояния.2	Широта оголовка трубы.1	Долгота оголовка трубы.1	Код очертания отверстия трубы .1
38 ОП МЗ 38Н-195	26986	11	50	1	25.0	4	2				7.0		56.52				1	1	0	0	1	1	0	0		2	3.3	9.0	3	9.0	9.0	1.1304	4	1.2			8.0	1	51.46749	35.7197	1	2			3	9.0	9.0	1.1304	4	1.2			8.0	1	51.46791	35.71986	1
38 ОП МЗ 38Н-195	23344	11	15	1	7.5	4	1			1.76	1.2		3.9611099999999997				1	1	0	0	0	0	0	0		2	1.2	4.5	3	9.0	9.0	0.264074	2	0.58			5.0	3	51.45124	35.76387	1	2	1.7	3.3	3	9.0	9.0	0.264074	2	0.58			5.0	3	51.45134	35.76402	1
38 ОП МЗ 38Н-195	23145	11	10	2	5.0	4	1			1.67	1.2		5.024000000000001				1	1	0	1	1	1	0	0		5			3			0.5024000000000001	1	0.8			0.8	3	51.4502	35.76621	1	5			3			0.5024000000000001	1	0.8			0.8	3	51.45029	35.76632	1
38 ОП МЗ 38Н-195	22808	11	10	2	5.0	4	1			1.5	1.1		5.024000000000001				1	1	0	0	0	0	0	0		5			3			0.5024000000000001	1	0.8			0.8	3	51.44839	35.77011	1	5			3			0.5024000000000001	1	0.8			0.8	3	51.44848	35.7702	1
38 ОП МЗ 38Н-195	21025	11	10	1	5.0	4	1			1.9	1.4		7.8500000000000005				1	1	0	0	0	0	0	0		1		5.0	3	9.0	9.0	0.785	1	1.0				3	51.44107	35.79253	1	1		5.0	3	9.0	9.0	0.785	1	1.0				3	51.44118	35.79257	1
38 ОП МЗ 38Н-195	20608	11	15	1	7.5	4	1			1.12	0.5		4.239				1	1	0	0	0	0	0	0		2	1.2	3.3	3	9.0	9.0	0.2826	1	0.6			6.0	1	51.44043	35.79843	1	2	1.2	3.3	3	9.0	9.0	0.2826	1	0.6			6.0	1	51.44056	35.79849	1
38 ОП МЗ 38Н-195	19748	11	15	1	7.5	4	1			2.62	1.3		16.956				1	1	0	0	1	1	0	0		2	1.4	3.6	3	9.0	9.0	1.1304	1	1.2			9.0	3	51.43774	35.81	1	2	1.4	3.6	3	9.0	9.0	1.1304	1	1.2			9.0	3	51.43788	35.81009	1
38 ОП МЗ 38Н-195	18386	11	15	1	7.5	4	2				1.4		16.956				1	1	0	0	0	0	0	0		1		5.0	3	9.0	9.0	1.1304	3	1.2			9.0	1	51.43325	35.82821	1	1		5.0	3	9.0	9.0	1.1304	3	1.2			9.0	1	51.43337	35.82831	1
38 ОП МЗ 38Н-195	17158	11	10	1	5.0	4	1			1.21	0.43		6.3585				1	1	0	0	0	0	0	0		5			3	9.0	9.0	0.63585	1	0.9			6.0	3	51.43147	35.8451	1	5			3	9.0	9.0	0.63585	1	0.9			6.0	3	51.43157	35.84509	1
38 ОП МЗ 38Н-195	17114	12	10	1	5.0	4	1			0.55	0.4		1.9625000000000001				1	1	0	0	0	0	0	0		1	1.0	1.45	3	9.0	9.0	0.19625	1	0.5			6.0	2	51.43152	35.84581	1	1	1.0	1.45	3	9.0	9.0	0.19625	1	0.5			6.0	2	51.43152	35.84567	1
