Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код материала	Тип ограждения	Протяженность	Год постройки	Техническое состояние
9314	9324	1	2	6	10		
9314	9324	2	2	6	10		
12014	12146	2	1	1	132		
12108	12218	1	1	1	110		
12175	12220	2	1	1	45		
13175	13225	1	1	1	50		
13175	13225	2	1	1	50		
14993	15062	1	1	1	69		
14993	15062	2	1	1	69		
22020	22123	1	1	1	103		
22020	22123	2	1	1	103		
22123	22143	1	1	10	20		
22123	22143	2	1	10	20		
22123	22143	1	2	7	20		
22123	22143	2	2	7	20		
22143	22254	1	1	1	111		
22143	22254	2	1	1	111		
24870	24921	1	1	1	51		
24870	24921	2	1	1	51		
24921	24941	1	1	10	20		
24921	24941	2	1	10	20		
24921	24941	1	2	7	20		
24921	24941	2	2	7	20		
24941	24991	1	1	1	50		
24941	24991	2	1	1	50		
