Местоположение начала участка, м	Местоположение конца участка, м	Код расположения столбика	Количество столбиков, шт.	4 - прямые участки, кривые в продольном профиле, высокие насыпи	Код материала 	Наименование	Шаг расстановки столбиков, м	Год установки	Техническое состояние
466	466	1	1	1	3		0		
466	466	2	1	1	3		0		
1106	1106	1	1	6	3		0		
1106	1106	2	1	6	3		0		
1500	1500	1	1	6	3		0		
1500	1500	2	1	6	3		0		
2200	2200	1	1	1	3		0		
2200	2200	2	1	1	3		0		
3765	3765	1	1	6	3		0		
3765	3765	2	1	6	3		0		
4155	4155	1	1	1	3		0		
4155	4155	2	1	1	3		0		
4939	4939	1	1	1	3		0		
4939	4939	2	1	1	3		0		
6268	6268	1	1	1	3		0		
6268	6268	2	1	1	3		0		
7692	7692	1	1	1	3		0		
7692	7692	2	1	1	3		0		
10127	10127	1	1	1	3		0		
10127	10127	2	1	1	3		0		
10351	10351	1	1	1	3		0		
10351	10351	2	1	1	3		0		
11807	11807	1	1	6	3		0		
11807	11807	2	1	6	3		0		
13700	13700	1	1	6	3		0		
13700	13700	2	1	6	3		0		
14158	14158	1	1	6	3		0		
14158	14158	2	1	6	3		0		
15511	15511	1	1	6	3		0		
15511	15511	2	1	6	3		0		
16309	16309	1	1	6	3		0		
16309	16309	2	1	6	3		0		
16940	16940	1	1	6	3		0		
16940	16940	2	1	6	3		0		
17257	17257	1	1	6	3		0		
17257	17257	2	1	6	3		0		
19840	19840	1	1	6	3		0		
19840	19840	2	1	6	3		0		
20686	20686	1	1	1	3		0		
20686	20686	2	1	1	7		0		
22890	22890	1	1	6	7		0		
22890	22890	2	1	6	7		0		
