Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	1431	1	2	2	5
1431	1440	1	2	2	3
1440	2667	1	2	2	5
2667	2675	1	2	2	3
2675	3215	1	2	2	5
3215	3230	1	2	2	3
3230	4179	1	2	2	5
4179	4190	1	2	2	3
4190	4454	1	2	2	5
4454	4464	1	2	2	3
4464	6290	1	2	2	5
6290	6300	1	2	2	3
6300	6950	1	2	2	5
6950	6955	1	2	2	3
6955	9147	1	2	2	5
9147	9156	1	2	2	3
9156	9309	1	2	2	5
9309	9319	1	2	2	3
9319	9360	1	2	2	5
9360	9367	1	2	2	3
9367	10190	1	2	2	5
10190	10197	1	2	2	3
10197	11226	1	2	2	5
11226	11245	1	2	2	3
11245	12148	1	2	2	5
12148	12173	1	2	2	3
12173	13103	1	2	2	5
13103	13124	1	2	2	3
13124	13246	1	2	2	5
13246	13246	1	2	2	3
13246	14297	1	2	2	5
14297	14312	1	2	2	3
14312	15542	1	2	2	5
15542	15560	1	2	2	3
15560	16396	1	2	2	5
16396	16407	1	2	2	3
16407	17200	1	2	2	5
17200	17215	1	2	2	3
17215	18730	1	2	2	5
18730	18740	1	2	2	3
18740	19489	1	2	2	5
19489	19500	1	2	2	3
19500	20086	1	2	2	5
20086	20095	1	2	2	3
20095	22122	1	2	2	5
22122	22254	1	2	2	3
22254	22549	1	2	2	5
22549	22560	1	2	2	3
22560	22610	1	2	2	5
22610	22615	1	2	2	3
22615	23348	1	2	2	5
23348	23358	1	2	2	3
23358	24870	1	2	2	5
24870	24992	1	2	2	3
24992	25099	1	2	2	5
25099	25125	1	2	2	3
25125	25297	1	2	2	5
25297	25318	1	2	2	3
25318	25903	1	2	2	5
25318	26147	1	2	2	3
26147	26585	1	2	2	5
26585	26590	1	2	2	3
26590	26728	1	2	2	5
26728	26733	1	2	2	3
26733	27390	1	2	2	5
27390	27395	1	2	2	3
27395	27870	1	2	2	5
27870	27870	1	2	2	3
27870	27885	1	2	2	3
0	1700	2	2	2	5
1700	1715	2	2	2	3
1715	2667	2	2	2	5
2667	2675	2	2	2	3
2675	2710	2	2	2	5
2710	3070	2	2	2	4
3070	3253	2	2	2	5
3253	3287	2	2	2	3
3287	3576	2	2	2	5
3576	3589	2	2	2	3
3589	3895	2	2	2	5
3895	3904	2	2	2	3
3904	4179	2	2	2	5
4179	4190	2	2	2	3
4190	4454	2	2	2	5
4454	4464	2	2	2	3
4464	4862	2	2	2	5
4862	4872	2	2	2	3
4872	5630	2	2	2	5
5630	5640	2	2	2	3
5640	6305	2	2	2	5
6305	6315	2	2	2	3
6315	6360	2	2	2	5
6360	6385	2	2	2	3
6385	7350	2	2	2	5
7350	7360	2	2	2	3
7360	8090	2	2	2	5
8090	8096	2	2	2	3
8096	9147	2	2	2	5
9147	9156	2	2	2	3
9156	9309	2	2	2	5
9309	9319	2	2	2	3
9319	9368	2	2	2	5
9368	9375	2	2	2	3
9375	9740	2	2	2	5
9740	9747	2	2	2	3
9747	10592	2	2	2	5
10592	10602	2	2	2	3
10602	11084	2	2	2	5
11084	11100	2	2	2	3
11100	11170	2	2	2	5
11170	11185	2	2	2	3
11185	12148	2	2	2	5
12148	12173	2	2	2	3
12173	12146	2	2	2	5
12146	12147	2	2	2	3
12147	13052	2	2	2	5
13052	13070	2	2	2	3
13070	13134	2	2	2	5
13134	13154	2	2	2	3
13154	13250	2	2	2	5
13250	13258	2	2	2	3
13258	14302	2	2	2	5
14302	14312	2	2	2	3
14312	14958	2	2	2	5
14958	14970	2	2	2	3
14970	15066	2	2	2	5
15066	15086	2	2	2	3
15086	15782	2	2	2	5
15782	15801	2	2	2	3
15801	16025	2	2	2	5
16025	16045	2	2	2	3
16045	16120	2	2	2	5
16120	16135	2	2	2	3
16135	16672	2	2	2	5
16672	16680	2	2	2	3
16680	17157	2	2	2	5
17157	17167	2	2	2	3
17167	18730	2	2	2	5
18730	18740	2	2	2	3
18740	19489	2	2	2	5
19489	19500	2	2	2	3
19500	20086	2	2	2	5
20086	20095	2	2	2	3
20095	20472	2	2	2	5
20472	50485	2	2	2	3
50485	21175	2	2	2	5
21175	21195	2	2	2	3
21195	22122	2	2	2	5
22122	22254	2	2	2	3
22254	22539	2	2	2	5
22539	22549	2	2	2	3
22549	23530	2	2	2	5
23530	23535	2	2	2	3
23535	23883	2	2	2	5
23883	23910	2	2	2	3
23910	24845	2	2	2	5
24845	24992	2	2	2	3
24992	25099	2	2	2	5
25099	25125	2	2	2	3
25125	25206	2	2	2	5
25206	25236	2	2	2	3
25236	25934	2	2	2	5
25934	26147	2	2	2	3
26147	27870	2	2	2	5
27870	27870	2	2	2	3
27870	27885	2	2	2	5
