Местоположение,  м	Код расположения 	Наименование пересечения	"Наличие переходно-скоростных полос 
(1-есть, 0-нет) "	Наличие полосы торможения (1-есть, 0-нет)	Наличие полосы разгона (1-есть, 0-нет)	2 - грунтовая дорога к объекту или населенному пункту	Ширина проезжей части, м	Протяженность ПСП, м (полоса разгона)	Протяженность ПСП, м (полоса торможения)	Наличие трубы (1-есть, 0-нет)	Наличие сигнальных столбиков (1-есть, 0-нет)	Наличие островка безопасности (1-есть, 0-нет)	Наличие светофора (1-есть, 0-нет)	2 - асфальтобетон	Длина, м	Площадь покрытия	Величина угла 	2	Год постройки 	Год последнего капитального ремонта
35	1	трасса	0	0	0	1	6				0	0	0	2	7	42	90	2		
1431	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
1706	2	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
2673	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
2673	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
3218	1	Крым - Гахово - Ильичевский	0	0	0	1	6				0	0	0	2	4	24	90	2		
3280	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
3576	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
3900	2	к домам	0	0	0	1	6				0	0	0	2	4	24	90	2		
4174	6	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
4450	2	к домам	0	0	0	1	6				0	0	0	2	6	36	90	2		
4866	2	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
5628	2	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
6298	6	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
6950	1	в поле	0	0	0	1	6				0	0	0	2	2	12	90	2		
7353	2	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
9151	6	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
9365	6	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
9742	2	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
10595	2	к деревне	0	0	0	1	6				0	0	0	2	4	24	90	2		
11086	2	Спасское - Спасские Выселки - Кондратьевские Выселки	0	0	0	1	6				0	0	0	2	4	24	90	2		
11226	1	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
12153	6	в поле	0	0	0	1	6				0	0	0	2	4	24	90	2		
12146	2	к деревне	0	0	0	1	6				0	0	0	2	5	30	90	2		
13108	1	в поле	0	0	0	1	6				0	0	0	2	3	18	90	2		
13139	2	к деревне	0	0	0	1	6				0	0	0	2	5	30	90	2		
13251	2	к деревне	0	0	0	2	6				0	0	0	6	3	18	90	2		
14302	6	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
14963	2	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
15079	2	к деревне	0	0	0	1	6				0	0	0	2	3	18	90	2		
15542	1	в поле	0	0	0	1	6				0	0	0	2	6	36	90	2		
16024	2	"Крым - ""Дьяконово - Суджа - граница с Украиной"" 2-я Гостомля"	0	0	0	1	6				0	0	0	2	6	36	90	2		
16125	2	к деревне	0	0	0	1	6				0	0	0	2	6	36	90	2		
16400	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
16676	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
17154	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
17205	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
18223	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
18579	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
18731	6	к деревне	0	0	0	1	6				0	0	0	2	5	30	90	2		
19495	6	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
20086	6	в поле	0	0	0	6	6				0	0	0	6	3	18	90	2		
20472	2	к деревне	0	0	0	1	6				0	0	0	2	5	30	90	2		
21053	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
21185	2	к деревне	0	0	0	1	6				0	0	0	2	6	36	90	3		
22539	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
22560	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
22600	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
23353	1	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
23530	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	2		
23895	2	к предприятию	0	0	0	1	6				0	0	0	2	5	30	90	2		
25104	6	к деревне	0	0	0	1	6				0	0	0	2	7	42	90	2		
25213	2	Дьяконово - Суджа - граница с Украиной - Тарасово	0	0	0	1	6				0	0	0	2	7	42	90	2		
25308	1	в поле	0	0	0	6	6				0	0	0	6	5	30	90	2		
26590	1	к домам	0	0	0	2	6				0	0	0	6	2	12	90	3		
26733	1	к домам	0	0	0	1	6				0	0	0	2	3	18	90	3		
26773	2	в поле	0	0	0	6	6				0	0	0	6	2	12	90	3		
27395	1	в поле	0	0	0	6	6				0	0	0	6	5	30	90	2		
