Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	509	1	2	2	5
509	519	1	2	2	3
519	692	1	2	2	5
692	702	1	2	2	3
702	805	1	2	2	5
805	813	1	2	2	3
813	1880	1	2	2	5
1880	1883	1	2	2	3
1883	3452	1	2	2	5
3452	3542	1	2	2	3
3542	3583	1	2	2	5
3583	3613	1	2	2	3
3613	3644	1	2	2	5
3644	3651	1	2	2	3
3651	3735	1	2	2	5
3735	3746	1	2	2	3
3746	3841	1	2	2	5
0	1875	2	2	2	5
1875	1885	2	2	2	3
1885	2595	2	2	2	5
2595	2605	2	2	2	3
2605	3290	2	2	2	5
3290	3298	2	2	2	3
3298	3480	2	2	2	5
3480	3502	2	2	2	3
3502	3522	2	2	2	5
3522	3542	2	2	2	3
3542	3570	2	2	2	5
3570	3603	2	2	2	3
3603	3634	2	2	2	5
3634	3644	2	2	2	3
3644	3651	2	2	2	5
3651	3695	2	2	2	3
3695	3735	2	2	2	5
3735	3746	2	2	2	3
3746	3841	2	2	2	5
