Местоположение начала участка, м	Местоположение конца участка, м	Расстояние видимости в профиле, м	Расстояние видимости в плане, м	Код причины ограничения видимости в плане
0	50	750	400	4
50	100	750	400	4
100	150	750	400	4
150	200	750	400	4
200	250	750	400	4
250	300	750	400	4
300	350	750	400	4
350	400	750	400	4
400	450	750	400	4
450	500	750	400	4
500	550	750	400	4
550	600	200	200	3
600	650	200	200	3
650	700	200	200	3
700	750	200	200	3
750	800	200	200	3
800	850	200	200	3
850	900	200	500	4
900	950	200	500	4
950	1000	200	500	4
1000	1050	200	500	4
1050	1100	750	500	4
1100	1150	750	500	4
1150	1200	750	500	4
1200	1250	750	500	4
1250	1300	750	500	4
1300	1350	750	500	4
1350	1400	750	500	4
1400	1450	750	500	4
1450	1500	750	500	4
1500	1550	750	500	4
1550	1600	750	500	4
1600	1650	750	500	4
1650	1700	750	500	4
1700	1750	750	500	4
1750	1800	750	500	4
1800	1850	750	500	4
1850	1900	750	500	4
1900	1950	750	500	4
1950	2000	750	500	4
2000	2050	750	500	4
2050	2100	750	500	4
2100	2150	750	500	4
2150	2200	750	500	4
2200	2250	750	500	4
2250	2300	750	500	4
2300	2350	750	500	4
2350	2400	750	500	4
2400	2450	750	500	4
2450	2500	750	500	4
2500	2550	750	500	4
2550	2600	200	200	3
2600	2650	200	200	3
2650	2700	200	200	3
2700	2750	200	200	3
2750	2800	750	400	4
2800	2850	750	400	4
2850	2900	750	400	4
2900	2950	750	400	4
2950	3000	750	400	4
3000	3050	750	400	4
3050	3100	750	400	4
3100	3150	750	400	4
3150	3200	750	400	4
3200	3250	750	400	4
3250	3300	750	200	2
3300	3350	750	200	2
3350	3400	750	200	2
3400	3450	750	200	1
3450	3500	750	200	1
3500	3550	750	200	1
3550	3600	750	200	1
3600	3650	750	200	1
3650	3700	750	200	1
3700	3750	750	200	1
3750	3800	750	200	1
3800	3837	750	200	1
