Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	528	1	2	2	5
528	532	1	2	2	3
532	732	1	2	2	5
732	737	1	2	2	3
737	753	1	2	2	5
753	758	1	2	2	3
758	913	1	2	2	5
913	917	1	2	2	3
917	1201	1	2	2	5
1201	1210	1	2	2	3
1210	1241	1	2	2	5
1241	1241	1	2	2	3
1241	1262	1	2	2	5
1262	1272	1	2	2	3
1272	1292	1	2	2	5
1292	1313	1	2	2	3
1313	1475	1	2	2	5
0	71	2	2	2	5
71	91	2	2	2	3
91	1231	2	2	2	5
1231	1240	2	2	2	3
1240	1480	2	2	2	5
