Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	10.0	0.0	0.0						
10.0	20.0	0.0	0.0						
20.0	30.0	0.0	0.0						
30.0	40.0	3.66	3.29						
40.0	50.0	3.8	3.13						
50.0	60.0	3.8	3.32						
60.0	70.0	3.85	3.62						
70.0	80.0	4.03	3.73						
80.0	90.0	4.1	3.6						
90.0	100.0	4.26	3.58						
100.0	110.0	4.27	3.57						
110.0	120.0	4.27	3.5						
120.0	130.0	4.65	3.56						
130.0	140.0	4.66	3.74						
140.0	150.0	4.65	0.0						
150.0	160.0	0.0	0.0						
160.0	170.0	0.0	0.0						
170.0	180.0	0.0	0.0						
180.0	190.0	0.0	0.0						
190.0	200.0	0.0							
200.0	210.0								
210.0	220.0								
220.0	230.0								
230.0	240.0								
240.0	241.283								
