Местоположение начала участка, м	Местоположение конца участка, м	Код расположения	Код грунта земляного полотна	Код земляного полотна	Ширина земляного полотна
0	71	1	2	2	5
71	81	1	2	2	5
81	91	1	2	2	3
91	122	1	2	2	5
122	132	1	2	2	3
132	152	1	2	2	5
152	152	1	2	2	3
152	599	1	2	2	5
599	651	1	2	2	3
651	895	1	2	2	5
895	906	1	2	2	3
906	1068	1	2	2	5
1068	1078	1	2	2	3
1078	1119	1	2	2	5
1119	1130	1	2	2	3
1130	1221	1	2	2	5
1221	1385	1	2	2	3
1385	1556	1	2	2	5
1556	2533	1	2	2	3
2533	2891	1	2	2	5
2891	2911	1	2	2	3
2911	5225	1	2	2	5
5225	5225	1	2	2	3
5225	5380	1	2	2	5
5380	5385	1	2	2	3
5385	5385	1	2	2	5
5385	5825	1	2	2	3
5825	5855	1	2	2	5
5855	5865	1	2	2	3
5865	7315	1	2	2	5
7315	7325	1	2	2	3
7325	8399	1	2	2	5
8399	8399	1	2	2	3
8399	8612	1	2	2	5
8612	8625	1	2	2	3
8625	8695	1	2	2	5
8695	8705	1	2	2	3
8705	9285	1	2	2	5
9285	9305	1	2	2	3
9305	9651	1	2	2	5
9651	9661	1	2	2	3
9661	9672	1	2	2	5
9672	9672	1	2	2	3
9682	9850	1	2	2	5
9850	9855	1	2	2	3
9855	9967	1	2	2	5
9967	9980	1	2	2	3
9980	10089	1	2	2	5
10089	10105	1	2	2	3
10105	10373	1	2	2	5
10373	10379	1	2	2	3
10379	12577	1	2	2	5
12577	12587	1	2	2	3
12587	13583	1	2	2	5
13583	13609	1	2	2	3
13609	13700	1	2	2	5
13700	13705	1	2	2	3
13705	15325	1	2	2	5
15325	15337	1	2	2	3
15337	18122	1	2	2	5
18122	18136	1	2	2	3
18136	18866	1	2	2	5
18866	18878	1	2	2	3
18878	19555	1	2	2	5
19555	19560	1	2	2	3
19560	19725	1	2	2	5
19725	19736	1	2	2	3
19736	21755	1	2	2	5
21755	21938	1	2	2	5
21938	21952	1	2	2	3
21952	22100	1	2	2	5
22100	22181	1	2	2	3
22181	22277	1	2	2	5
22277	22292	1	2	2	3
22292	22352	1	2	2	5
22352	22365	1	2	2	3
22365	22685	1	2	2	5
22685	22705	1	2	2	3
22705	23725	1	2	2	5
23725	23750	1	2	2	3
23750	23953	1	2	2	5
23953	23983	1	2	2	3
23983	25253	1	2	2	5
25253	25263	1	2	2	3
25263	25500	1	2	2	5
25500	25516	1	2	2	3
25516	26058	1	2	2	5
26058	26072	1	2	2	3
26072	26775	1	2	2	5
26775	26787	1	2	2	3
26787	26832	1	2	2	5
0	71	2	2	2	5
71	85	2	2	2	5
85	2553	2	2	2	3
2553	2703	2	2	2	5
2703	2758	2	2	2	3
2758	2930	2	2	2	5
2930	2953	2	2	2	3
2953	5225	2	2	2	5
2953	5225	2	2	2	3
5225	5500	2	2	2	5
5500	5505	2	2	2	3
5505	5065	2	2	2	5
5065	5085	2	2	2	3
5085	5850	2	2	2	5
5850	5865	2	2	2	3
5865	8399	2	2	2	5
8399	8399	2	2	2	3
8399	8695	2	2	2	5
8695	8705	2	2	2	3
8705	9506	2	2	2	5
9506	9527	2	2	2	3
9527	9565	2	2	2	5
9565	9810	2	2	2	3
9810	9820	2	2	2	5
9820	9825	2	2	2	3
9825	10220	2	2	2	5
10220	10233	2	2	2	3
10233	10380	2	2	2	5
10380	10395	2	2	2	3
10395	12151	2	2	2	5
12151	12170	2	2	2	3
12170	15367	2	2	2	5
15367	15387	2	2	2	3
15387	15662	2	2	2	5
15662	15675	2	2	2	3
15675	16152	2	2	2	5
16152	16172	2	2	2	3
16172	18122	2	2	2	5
18122	18136	2	2	2	3
18136	18866	2	2	2	5
18866	18878	2	2	2	3
18878	21355	2	2	2	5
21355	21368	2	2	2	3
21368	21551	2	2	2	5
21551	21580	2	2	2	3
21580	21755	2	2	2	5
21755	21928	2	2	2	5
21928	27131	2	2	2	5
27131	27151	2	2	2	3
27151	26286	2	2	2	5
26286	26302	2	2	2	3
26302	26777	2	2	2	5
26777	26805	2	2	2	3
26805	26832	2	2	2	5
