Местоположение начала участка, м	Местоположение конца участка, м	Код расположения 	Ширина укрепленной обочины (а/б), м	Ширина укрепленной обочины (ц/б), м	Ширина укрепленной обочины (вяжущим), м	Ширина обочины, укрепленной щебнем или гравием, м	Ширина обочины, укрепленной засевом трав, м	Ширина не укрепленной обочины, м	Техническое состояние	Год постройки	Год последнего ремонта
53	71	1					2		1		
53	71	2					2		1		
71	85	2					2		2		
71	81	1					2		2		
91	122	1					2		2		
132	142	1					2		2		
152	499	1					2		2		
641	895	1					2		2		
906	1068	1					2		2		
1078	1119	1					2		2		
1130	1221	1					2		2		
1385	1456	1					2		2		
2533	2891	1					2		2		
2553	2703	2					2		2		
2748	2930	2					2		2		
2911	4225	1					2		2		
2943	4225	2					2		2		
4225	4380	1					2		2		
4225	4400	2					2		2		
4385	4813	1					2		2		
4405	5065	2					2		2		
4825	4845	1					2		2		
4865	7314	1					2		2		
5085	5850	2					2		2		
5864	8399	2					2		2		
7325	8399	1					2		2		
8399	8612	1					2		2		
8399	8694	2					2		2		
8625	8694	1					2		2		
8704	9285	1					2		2		
8704	9406	2					2		2		
9305	9651	1					2		2		
9427	9565	2					2		2		
9661	9672	1					2		2		
9682	9850	1					2		2		
9810	9820	2					2		2		
9825	10220	2					2		2		
9855	9967	1					2		2		
9980	10089	1					2		2		
10105	10373	1					2		2		
10233	10380	2					2		2		
10379	12477	1					2		2		
10394	12151	2					2		2		
12170	14367	2					2		2		
12487	13583	1					2		2		
13609	13700	1					2		2		
13705	15325	1					2		2		
14387	15662	2					2		2		
15337	18122	1					2		2		
15675	16142	2					2		2		
16172	18122	2					2		2		
18136	18866	1					2		1		
18136	18866	2					2		1		
18878	19455	1					2		1		
18878	21355	2					2		1		
19460	19725	1					2		1		
19736	21744	1					2		1		
21368	21541	2					2		1		
21580	21744	2					2		1		
21744	21938	1					2		2		
21744	21928	2					2		2		
21950	22100	2					2		2		
21952	22100	1					2		2		
22181	22277	1					2		2		
22181	22394	2					2		2		
22292	22352	1					2		2		
22364	22684	1					2		2		
22422	22684	2					2		2		
22705	23724	1					2		2		
22705	24256	2					2		2		
23740	23953	1					2		2		
23983	24243	1					2		2		
24263	24400	1					2		2		
24294	25967	2					2		2		
24416	26058	1					2		2		
25977	26048	2					2		2		
26058	27131	2					2		2		
26072	26775	1					2		2		
27141	26286	2					2		2		
26302	26777	2					2		2		
26787	26832	1					2		2		
26805	26832	2					2		2		
