Местоположение начала участка, м	Местоположение конца участка, м	1-ая (от оси дороги) прямое направление	1-ая (от оси дороги) обратное направление	2-ая (от оси дороги) прямое направление	2-ая (от оси дороги) обратное направление	3-ая (от оси дороги) прямое направление	3-ая (от оси дороги) обратное направление	4-ая (от оси дороги) прямое направление	4-ая (от оси дороги) обратное направление
0.0	1000.0	0.0	0.0						
1000.0	2000.0	0.0	4.2						
2000.0	3000.0	1.73	4.16						
3000.0	4000.0	2.76	2.79						
4000.0	5000.0	3.71	2.98						
5000.0	6000.0	3.34	4.66						
6000.0	7000.0	4.34	2.72						
7000.0	8000.0	2.66	2.92						
8000.0	9000.0	3.49	4.99						
9000.0	10000.0	1.76	4.18						
10000.0	11000.0	3.8	2.83						
11000.0	12000.0	2.32	3.09						
12000.0	13000.0	3.84	2.91						
13000.0	14000.0	3.4	1.63						
14000.0	15000.0	2.4	1.92						
15000.0	16000.0	3.25	3.94						
16000.0	17000.0	3.47	3.85						
17000.0	18000.0	3.73	7.56						
18000.0	19000.0	4.01	3.5						
19000.0	20000.0	4.02	5.14						
20000.0	21000.0	3.6	4.78						
21000.0	22000.0	0.0	5.77						
22000.0	23000.0	2.65	3.08						
23000.0	24000.0	2.83	2.85						
24000.0	25000.0	3.41	0.0						
25000.0	26000.0	3.06	2.82						
26000.0	26466.808	3.43	1.68						
