Местоположение м	Код расположения 	Направление хода	Номер знака по ГОСТу	Дополнительная информация о знаке	Способ установки	Техническое состояние
62	2	2	2.4		1	1
91	2	1	2.1		1	1
580	2	1	2.1		1	1
682	2	2	2.1		1	1
968	2	1	1.11.2		1	1
1011	2	1	2.1		1	1
1028	2	1	1.17		1	1
1028	2	1	3.24		1	1
1055	2	1	5.20		1	1
1068	2	2	5.20		1	1
1099	2	2	1.17		1	1
1099	2	2	3.24	40	1	1
1109	2	2	2.1		1	1
1155	2	2	1.11.1		1	1
1155	2	2	3.24	40	1	1
1445	2	1	3.24	40	1	1
1618	2	1	2.1		1	1
1689	2	2	3.24	40	1	1
1710	2	1	1.23		1	1
1730	2	2	2.3.1		1	1
1865	2	1	2.1		1	1
1873	2	1	7.1		1	1
1890	2	1	5.19.1		1	1
1890	2	2	5.19.2		1	1
1893	2	2	5.19.1		1	1
1893	1	1	5.19.2		1	1
1964	1	2	2.1		1	1
1975	1	2	7.1		1	1
2219	1	2	3.25		1	1
2280	2	1	3.24	40	1	1
2302	2	1	1.23		1	1
2331	2	1	3.24		1	1
2331	2	1	1.17		1	1
2351	2	1	1.23		1	1
2351	2	1	8.2.1		1	1
2381	2	1	5.20		1	1
2422	2	1	5.19.1		1	1
2422	2	2	5.19.2		1	1
2430	2	2	5.19.1		1	1
2430	1	1	5.19.2		1	1
2463	1	2	5.20		1	1
2490	1	2	8.2.1		1	1
2490	1	2	1.23		1	1
2495	1	2	5.16		1	1
2514	1	2	1.17		1	1
2514	1	2	3.24	40	1	1
2555	1	2	1.23		1	1
2567	1	2	3.24	40	1	1
2657	2	1	2.1		1	1
2770	1	2	2.1		1	1
2903	2	1	6.10.1	Верхний Реутец 10, Гахово 20	2	1
2985	1	1	5.24.1	Медвенка	1	1
2985	1	2	5.23.1	Медвенка	1	1
3044	1	2	2.1		1	1
3045	2	1	6.10.1	Гахово 23, В. Реутец 10, Н. Реутец 5	2	1
3787	2	1	3.20		1	1
3787	1	2	3.21		1	1
3828	2	1	1.13		1	1
4459	2	1	3.25		1	1
4459	1	2	3.20		1	1
4622	2	1	2.3.3		1	1
4673	1	2	1.14		1	1
4815	1	2	5.16		1	1
4835	2	1	1.34.3		1	1
4856	2	1	6.10.1	Б. Радино 0,3, Танеевка 6	2	1
4866	2	1	3.10		1	1
4887	2	1	2.3.2		1	1
5070	1	2	1.34.3		1	1
5092	1	2	2.3.2		1	1
5370	2	1	1.11.2		1	1
5793	2	1	3.25		1	1
5793	1	2	3.20		1	1
5823	1	2	1.11.1		1	1
6700	2	1	1.11.1		1	1
6840	2	1	3.20		1	1
7136	1	2	3.20		1	1
7136	2	1	3.21		1	1
7190	1	2	1.11.2		1	1
8085	2	1	1.11.1		1	1
8125	1	2	3.21		1	1
8125	2	1	3.20		1	1
8317	1	2	1.11.2		1	1
8450	2	1	1.11.1		1	1
8450	2	1	2.3.3		1	1
8776	1	2	3.20		1	1
8776	2	1	3.25		1	1
8837	1	2	2.3.2		1	1
8837	1	2	1.11.2		1	1
9070	2	1	5.23.1		1	1
9070	1	1	5.24.1		1	1
9193	2	1	1.11.2		1	1
9193	2	1	2.3.2		1	1
9213	1	2	3.21		1	1
9213	2	1	3.20		1	1
9437	2	1	3.24	40	1	1
9498	2	1	2.3.1		1	1
9579	1	2	1.11.1		1	1
9580	2	1	7.1		1	1
9580	2	1	8.2.1		1	1
9682	1	2	5.16		1	1
9743	1	2	8.1.4		1	1
9743	1	2	7.1		1	1
9783	1	2	3.24	40	1	1
9783	1	2	1.23		1	1
9810	2	1	1.12.1		1	1
9810	2	1	1.14		1	1
10222	1	2	5.23.1	Нижний реутец	1	1
10222	1	2	5.24.1	Нижний реутец	1	1
10580	1	2	1.13		1	1
10580	1	2	1.12.1		1	1
11465	2	1	1.11.2		1	1
12257	1	2	1.11.1		1	1
13497	2	1	1.11.1		1	1
13538	2	1	6.10.1		1	1
13559	2	1	5.23.1	В. Реутец	2	1
13559	1	2	5.24.1	В. Реутец	2	1
13588	1	2	5.16		1	1
13602	2	1	7.1		1	1
13602	2	1	8.2.1		1	1
13884	1	2	1.11.2		1	1
15135	2	1	2.3.3		1	1
15962	2	1	1.11.2		1	1
16145	2	1	1.34.2		1	1
16172	2	1	1.34.1		1	1
16255	1	2	3.24	40	1	1
16255	1	2	1.11.1		1	1
17823	2	1	2.3.1		1	1
18341	1	2	2.3.1		1	1
19512	2	1	1.11.1		1	1
19706	1	2	1.34.1		1	1
19726	1	2	1.34.2		1	1
19939	1	2	1.11.2		1	1
20143	2	1	1.11.2		1	1
20673	1	2	1.11.1		1	1
21047	2	1	1.11.2		1	1
21128	2	1	1.13		1	1
21312	2	1	5.23.1	Любач	2	1
21312	1	2	5.24.1	Любач	2	1
21434	2	1	1.12.2		1	1
21465	1	2	1.11.1		1	1
21557	1	1	7.1		1	1
21570	2	1	1.34.1		1	1
21690	2	1	2.1		1	1
21913	1	2	1.12.2		1	1
21913	1	2	1.14		1	1
22176	2	1	1.12.1		1	1
22176	2	1	2.3.3		1	1
23359	1	1	5.16		1	1
22593	1	2	2.3.1		1	1
22593	1	2	1.12.1		1	1
22674	1	1	5.24.1	Любач	2	1
22674	2	2	5.23.1	Любач	2	1
23389	1	2	1.14		1	1
23800	2	1	2.3.1		1	1
23800	2	1	1.12.1		1	1
24050	2	1	2.3.1		1	1
24280	2	1	5.16		1	1
24300	2	1	2.3.3		1	1
24360	2	1	6.10.1	Липовец 4	2	1
