Местоположение, м	Тип коммуникации	Расстояние от поверхности дороги до коммуникации, м	Величина угла пересечения	Ведомственная принадлежность
152	3	7	90	государственная
172	3	7	90	государственная
193	3	7	90	государственная
488	3	7	45	государственная
499	3	7	135	государственная
1078	3	7	90	государственная
1170	3	7	90	государственная
1221	3	7	90	государственная
1465	3	7	135	государственная
1649	3	7	90	государственная
2524	3	7	90	государственная
2580	2	10	90	государственная
2891	3	7	135	государственная
2992	3	6	45	государственная
5843	3	7	90	государственная
6434	2	10	45	государственная
9420	3	7	90	государственная
9435	3	7	90	государственная
9880	3	7	90	государственная
10373	3	7	90	государственная
10400	5	6	90	государственная
10770	2	7	135	государственная
13590	3	7	135	государственная
14235	3	7	135	государственная
24298	3	7	90	государственная
26064	3	7	45	государственная
26288	3	7	90	государственная
