Код дороги	Местоположение, м	Код расположения	Длина трубы, м	Код материала тела трубы	Расстояние от оси проезжей части до трубы на примыкании, м	Код вида перекрываемого препятствия	Код режима протекания воды	Глубина заложения фундамента, м	Код типа основания	Высота насыпи по профилю, м	Высота насыпи над трубой, м	Средний уклон по лотку, ‰	Объем тела трубы, м3	Код изоляции	Год ввода в эксплуатацию	Год последнего кап. ремонта	Код технического состояния	Заиливание (1-да,0-нет)	Раскрытие швов между звеньями (1-да, 0-нет)	Локальные разрушения укрепл. откоса насыпи (1-да, 0-нет)	Размыв русел водотока (1-да, 0-нет)	Высокая трава и древесно-кустарниковая растительность (1-да, 0-нет)	Локальные повреждения оголовков (1-да, 0-нет)	Иные дефекты (1-да, 0-нет)	Дорожная организация, выполнявшая диагностику	Код типа оголовка	Высота оголовка, м	Ширина оголовка, м	Код материала оголовка	Код укрепления русла 	Код укрепления откосов	Поперечное сечение отверстия	Количество отверстий	Диаметр отверстия, м	Высота отверстия, м	Ширина отверстия, м	Толщина стенки трубы, см	Код технического состояния.1	Широта оголовка трубы	Долгота оголовка трубы	Код очертания отверстия трубы 	Код типа оголовка.1	Высота оголовка, м.1	Ширина оголовка, м.1	Код материала оголовка.1	Код укрепления русла .1	Код укрепления откосов.1	Поперечное сечение отверстия.1	Количество отверстий.1	Диаметр отверстия, м.1	Высота отверстия, м.1	Ширина отверстия, м.1	Толщина стенки трубы, см.1	Код технического состояния.2	Широта оголовка трубы.1	Долгота оголовка трубы.1	Код очертания отверстия трубы .1
38 ОП МЗ 38Н-185	3090	11	15	1	7.5	4	1			1,89	1.05		11.775				1	1	0	0	0	0	0	0		2	1.4	3.3	3	9	9	0.785	1	1.0			7.0	3	51.4122	36.09532	1	2	1.4	3.3	3	9	9	0.785	1	1.0			7.0	3	51.41229	36.09515	1
38 ОП МЗ 38Н-185	4697	11	15	1	7.5	4	3				2.2		0.0				1	1	0	0	0	1	0	0		2	2.5	12.0	3	9	9	0.0	4					3	51.4019	36.07945	1	2	2.5	12.0	3	9	9	0.0	4					3	51.40204	36.07923	1
38 ОП МЗ 38Н-185	7107	11	15	1	7.5	4	2			1.63	0.65		11.775				1	1	0	0	1	0	0	0		2	1.5	4.0	3	9	9	0.785	1	1.0			11.0	2	51.38374	36.06161	1	2	1.5	4.0	3	9	9	0.785	1	1.0			11.0	2	51.38387	36.06146	1
38 ОП МЗ 38Н-185	8595	12	10	1	5.0	4	1			1.25	0.9		5.024000000000001				1	1	0	0	0	1	0	0		2			3	9	9	0.5024000000000001	1	0.8			6.0	3	51.37678	36.04363	1	2			3	9	9	0.5024000000000001	1	0.8			6.0	3	51.37678	36.0435	1
38 ОП МЗ 38Н-185	9055	11	15	1	7.5	4	1			2	0.75		16.956				1	1	0	0	0	0	0	0		2	1.7	5.0	3	9	9	1.1304	2	1.2			8.0	2	51.37835	36.03731	1	2	1.7	5.0	3	9	9	1.1304	2	1.2			8.0	2	51.37851	36.03741	1
38 ОП МЗ 38Н-185	9544	13	5	1	2.5	4	1			0.72	0.25		1.92325				1	1	0	0	0	0	0	0		5			3	9	9	0.38465	1	0.7			6.0	3	51.37881	36.03106	1	5			3	9	9	0.38465	1	0.7			6.0	3	51.37877	36.03099	1
38 ОП МЗ 38Н-185	9779	13	15	1	7.5	4	1			0.8	0.54		2.94375				1	1	0	0	0	0	0	0		1	1.0	1.5	3	9	9	0.19625	1	0.5				1	51.3775	36.02846	1	1	1.0	1.5	3	9	9	0.19625	1	0.5				1	51.37744	36.02833	1
38 ОП МЗ 38Н-185	10203	13	10	2	5.0	4	1			0.6	0.15		1.9625000000000001				1	1	0	0	0	0	0	0		5			3	9	9	0.19625	1	0.5			0.6	1	51.37612	36.0231	1	5			3	9	9	0.19625	1	0.5			0.6	1	51.37614	36.02296	1
38 ОП МЗ 38Н-185	10229	13	10	1	5.0	4	1			1.1	0.1		7.8500000000000005				1	1	0	0	0	0	0	0		5			3	9	9	0.785	1	1.0			7.0	2	51.37587	36.02264	1	5			3	9	9	0.785	1	1.0			7.0	2	51.37611	36.02265	1
38 ОП МЗ 38Н-185	11585	11	20	1	10.0	4	2				3.0		22.608				1	1	0	0	0	0	0	0		2	2.5	10.0	3	9	9	1.1304	3	1.2			9.0	1	51.36927	36.00736	1	2	2.5	10.0	3	9	9	1.1304	3	1.2			9.0	1	51.36933	36.00723	1
